Hour,Year,Zone,Price [Eur/MWh]
260,2030,DE4-N,29.1293404832734
261,2030,DE4-N,29.0791936495799
262,2030,DE4-N,28.8052595016367
263,2030,DE4-N,28.2748524742116
264,2030,DE4-N,27.587953506677
265,2030,DE4-N,26.2650318617196
266,2030,DE4-N,27.0447014337092
267,2030,DE4-N,27.5156219177939
268,2030,DE4-N,27.587953506677
269,2030,DE4-N,27.9664578160135
270,2030,DE4-N,28.6627795317764
271,2030,DE4-N,29.3482158088017
272,2030,DE4-N,30.8065303640884
273,2030,DE4-N,29.3875286440758
274,2030,DE4-N,27.587953506677
275,2030,DE4-N,25.7216381601496
276,2030,DE4-N,25.1892390477876
277,2030,DE4-N,24.5772896303808
278,2030,DE4-N,24.5772896303808
279,2030,DE4-N,26.1805126726848
280,2030,DE4-N,28.0917887236465
281,2030,DE4-N,31.6069822867619
282,2030,DE4-N,33.9271092894937
283,2030,DE4-N,32.8869163143586
284,2030,DE4-N,32.8869163143586
285,2030,DE4-N,31.0132839374509
286,2030,DE4-N,29.7663373889533
287,2030,DE4-N,29.6986379408747
288,2030,DE4-N,28.7595188178335
289,2030,DE4-N,28.6627795317764
290,2030,DE4-N,28.6627795317764
291,2030,DE4-N,28.7595188178335
292,2030,DE4-N,29.6226442788756
293,2030,DE4-N,29.8021695606931
294,2030,DE4-N,31.8506599976732
295,2030,DE4-N,35.7495466851279
296,2030,DE4-N,36.6396260016438
297,2030,DE4-N,35.7495466851279
298,2030,DE4-N,29.3764359622351
299,2030,DE4-N,28.5151832798606
300,2030,DE4-N,27.4796939512328
301,2030,DE4-N,27.2371229134805
302,2030,DE4-N,27.9051942526639
303,2030,DE4-N,29.7818956708767
304,2030,DE4-N,36.6396260016438
305,2030,DE4-N,50.3749574440154
306,2030,DE4-N,81.2369247641063
307,2030,DE4-N,49.0752784498416
308,2030,DE4-N,49.0752784498416
309,2030,DE4-N,49.0752784498416
310,2030,DE4-N,49.0752784498416
311,2030,DE4-N,38.9902528501272
312,2030,DE4-N,37.5627064516258
313,2030,DE4-N,36.2631568071996
314,2030,DE4-N,37.9417517719274
315,2030,DE4-N,37.9417517719274
316,2030,DE4-N,42.795496394534
317,2030,DE4-N,42.795496394534
318,2030,DE4-N,42.795496394534
319,2030,DE4-N,42.795496394534
320,2030,DE4-N,50.0905595524014
321,2030,DE4-N,43.6390119377158
322,2030,DE4-N,33.4350296064145
323,2030,DE4-N,30.0322104472442
324,2030,DE4-N,28.7261444138182
325,2030,DE4-N,28.4183110817004
326,2030,DE4-N,28.9788515800264
327,2030,DE4-N,30.8494682085709
328,2030,DE4-N,43.6979081306061
329,2030,DE4-N,105.938503571748
330,2030,DE4-N,105.938503571748
331,2030,DE4-N,107.62272802054
332,2030,DE4-N,105.938503571748
333,2030,DE4-N,105.938503571748
334,2030,DE4-N,105.938503571748
335,2030,DE4-N,105.938503571748
336,2030,DE4-N,104.339849520406
337,2030,DE4-N,95.2783239476289
338,2030,DE4-N,95.2783239476289
339,2030,DE4-N,95.2783239476289
340,2030,DE4-N,95.2783239476289
341,2030,DE4-N,95.2783239476289
342,2030,DE4-N,95.2783239476289
343,2030,DE4-N,105.601072426465
344,2030,DE4-N,109.192255213251
345,2030,DE4-N,109.192255213251
346,2030,DE4-N,49.0752784498416
347,2030,DE4-N,31.5488891711942
348,2030,DE4-N,29.456786762662
349,2030,DE4-N,29.3456144639174
350,2030,DE4-N,29.5621008188445
351,2030,DE4-N,32.8869163143586
352,2030,DE4-N,72.9654436472042
353,2030,DE4-N,109.192255213251
354,2030,DE4-N,109.192255213251
355,2030,DE4-N,109.192255213251
356,2030,DE4-N,109.192255213251
357,2030,DE4-N,106.39642633949
358,2030,DE4-N,104.339849520406
359,2030,DE4-N,88.4350762737009
360,2030,DE4-N,78.2548615903043
361,2030,DE4-N,78.2548615903043
362,2030,DE4-N,78.2548615903043
363,2030,DE4-N,78.2548615903043
364,2030,DE4-N,78.2548615903043
365,2030,DE4-N,78.2548615903043
366,2030,DE4-N,78.2548615903043
367,2030,DE4-N,104.339849520406
368,2030,DE4-N,109.192255213251
369,2030,DE4-N,109.192255213251
370,2030,DE4-N,46.744087443021
371,2030,DE4-N,33.5196646808293
372,2030,DE4-N,30.0762686164031
373,2030,DE4-N,29.5621008188445
374,2030,DE4-N,30.2230725379785
375,2030,DE4-N,35.5904815058618
376,2030,DE4-N,92.0125480692745
377,2030,DE4-N,108.229204459708
378,2030,DE4-N,108.717827776299
379,2030,DE4-N,108.371544018889
380,2030,DE4-N,107.279932338886
381,2030,DE4-N,105.601072426465
382,2030,DE4-N,104.339849520406
383,2030,DE4-N,104.339849520406
384,2030,DE4-N,104.339849520406
385,2030,DE4-N,90.1124969021235
386,2030,DE4-N,87.7729968776952
387,2030,DE4-N,49.3346726391018
388,2030,DE4-N,49.3346726391018
389,2030,DE4-N,36.6226203166547
390,2030,DE4-N,35.505289807665
391,2030,DE4-N,36.5873683182095
392,2030,DE4-N,38.1450497638186
393,2030,DE4-N,29.552263242725
394,2030,DE4-N,28.2748524742116
395,2030,DE4-N,26.7257633801496
396,2030,DE4-N,26.1431725227834
397,2030,DE4-N,26.1431725227834
398,2030,DE4-N,26.285703686507
399,2030,DE4-N,28.2748524742116
400,2030,DE4-N,28.4834411748592
401,2030,DE4-N,31.8467233392235
402,2030,DE4-N,32.2763761962061
403,2030,DE4-N,30.8065303640884
404,2030,DE4-N,29.4229702974517
405,2030,DE4-N,28.8052595016367
406,2030,DE4-N,28.7261444138182
407,2030,DE4-N,28.8052595016367
408,2030,DE4-N,27.5641579455609
409,2030,DE4-N,27.1904614884902
410,2030,DE4-N,26.993832864379
411,2030,DE4-N,26.993832864379
412,2030,DE4-N,26.7257633801496
413,2030,DE4-N,27.330578519033
414,2030,DE4-N,28.2345251109093
415,2030,DE4-N,29.3719549118809
416,2030,DE4-N,35.4489633965058
417,2030,DE4-N,35.4489633965058
418,2030,DE4-N,30.5902831318691
419,2030,DE4-N,30.1574242359074
420,2030,DE4-N,28.615748163936
421,2030,DE4-N,28.0162833707815
422,2030,DE4-N,28.0639253172377
423,2030,DE4-N,28.7759948186876
424,2030,DE4-N,28.7489174077961
425,2030,DE4-N,27.9384838284872
426,2030,DE4-N,27.9384838284872
427,2030,DE4-N,27.8947436825399
428,2030,DE4-N,27.3178047269475
429,2030,DE4-N,26.9278764513129
430,2030,DE4-N,26.645758463548
431,2030,DE4-N,26.387328664006
432,2030,DE4-N,26.387328664006
433,2030,DE4-N,26.5866969973793
434,2030,DE4-N,26.8866843146719
435,2030,DE4-N,27.43142870072
436,2030,DE4-N,27.5258169277304
437,2030,DE4-N,27.690883797996
438,2030,DE4-N,28.0623333841267
439,2030,DE4-N,28.6627795317764
440,2030,DE4-N,30.0033363790771
441,2030,DE4-N,29.8194578302014
442,2030,DE4-N,28.5680483275054
443,2030,DE4-N,28.3886281291103
444,2030,DE4-N,28.2748524742116
445,2030,DE4-N,28.2748524742116
446,2030,DE4-N,28.2748524742116
447,2030,DE4-N,28.5680483275054
448,2030,DE4-N,30.0354667598669
449,2030,DE4-N,39.0351188478993
450,2030,DE4-N,40.4221376443174
451,2030,DE4-N,87.3957089874907
452,2030,DE4-N,49.3346726391018
453,2030,DE4-N,40.4221376443174
454,2030,DE4-N,40.4221376443174
455,2030,DE4-N,48.7180847569851
456,2030,DE4-N,40.4221376443174
457,2030,DE4-N,32.2201405000158
458,2030,DE4-N,30.7662597111604
459,2030,DE4-N,30.2781027929642
460,2030,DE4-N,29.813529374666
461,2030,DE4-N,28.769884420651
462,2030,DE4-N,28.4592239856485
463,2030,DE4-N,27.9393605149736
464,2030,DE4-N,27.3744036078749
465,2030,DE4-N,26.8866843146719
466,2030,DE4-N,26.1508755216896
467,2030,DE4-N,25.6055654884129
468,2030,DE4-N,25.1137096440678
469,2030,DE4-N,23.9731090687665
470,2030,DE4-N,23.6564969440489
471,2030,DE4-N,23.5874605307899
472,2030,DE4-N,24.0849944527697
473,2030,DE4-N,24.2069763419807
474,2030,DE4-N,25.2179124558339
475,2030,DE4-N,25.6759350475438
476,2030,DE4-N,25.6055654884129
477,2030,DE4-N,25.1533125634643
478,2030,DE4-N,24.2522032223892
479,2030,DE4-N,24.076543766446
480,2030,DE4-N,22.9859488243993
481,2030,DE4-N,22.9859488243993
482,2030,DE4-N,22.9859488243993
483,2030,DE4-N,22.5432082904656
484,2030,DE4-N,22.6728234290704
485,2030,DE4-N,22.879168963279
486,2030,DE4-N,23.004490321152
487,2030,DE4-N,23.6564969440489
488,2030,DE4-N,24.1647184537722
489,2030,DE4-N,25.1280121615202
