Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,2976,23659.76161507924,47911.017270535456,4258.757090714263,4258.757090714263,0.0,0.0,0.0,34070.0567257141,0.0,0.0,230276.85443091963,0.0,0.0,0.0,175485.93063414365,0.0,0.0,0.0,0.0,69848.590300226,4258.757090714263,175485.93063414365,1.0
 ,2977,19231.609750655152,38944.009745076684,3461.6897551179277,3461.6897551179277,0.0,0.0,0.0,27693.51804094342,0.0,0.0,230276.85443091963,0.0,0.0,0.0,142642.0514962187,0.0,0.0,0.0,0.0,69848.590300226,3461.6897551179277,142642.05149621866,1.0
 ,2978,16964.600419492657,34353.31584947263,3053.6280755086786,3053.628075508678,0.0,0.0,0.0,24429.02460406943,0.0,0.0,230276.85443091963,0.0,0.0,0.0,125827.50159890327,0.0,0.0,0.0,0.0,69848.590300226,3053.6280755086786,125827.50159890327,1.0
 ,2979,17589.399162336304,35618.53330373102,3166.091849220535,3166.0918492205346,0.0,0.0,0.0,25328.73479376428,0.0,0.0,230276.85443091963,0.0,0.0,0.0,130461.67292449603,0.0,0.0,0.0,0.0,69848.590300226,3166.091849220535,130461.67292449602,1.0
 ,2980,21853.17440234414,44252.67816474689,3933.571392421946,3933.5713924219453,0.0,0.0,0.0,31468.571139375566,0.0,0.0,230276.85443091963,0.0,0.0,0.0,162086.36036558665,0.0,0.0,0.0,0.0,69848.590300226,3933.571392421946,162086.36036558665,1.0
 ,2981,34610.41882446678,70086.09811954523,6229.875388404021,6229.875388404021,0.0,0.0,0.0,49839.003107232165,0.0,0.0,230276.85443091963,0.0,0.0,0.0,256707.63957224667,0.0,0.0,0.0,0.0,69848.590300226,6229.875388404021,256707.63957224664,1.0
 ,2982,58900.87266648908,119274.26714964038,10602.157079968034,10602.157079968034,0.0,0.0,0.0,84817.25663974427,0.0,0.0,230276.85443091963,0.0,0.0,0.0,436871.45387189114,0.0,0.0,0.0,0.0,69848.590300226,10602.157079968034,436871.45387189114,1.0
 ,2983,76830.16894202324,160053.5588123565,14226.9830055428,13829.430409564184,0.0,0.0,0.0,113815.8640443424,397.5525959786141,0.0,230674.40702689823,0.0,0.0,0.0,585306.2889231166,0.0,0.0,0.0,0.0,69848.590300226,14226.9830055428,585306.2889231165,1.0
 ,2984,76830.16894202324,159534.2785238516,14180.824757675697,13829.430409564184,0.0,0.0,0.0,113446.59806140557,351.39434811151244,0.0,231025.80137500973,0.0,0.0,0.0,583512.2043752371,0.0,0.0,0.0,0.0,69848.590300226,14180.824757675697,583512.204375237,1.0
 ,2985,76830.16894202324,160363.58140762034,14254.540569566252,13829.430409564184,0.0,0.0,0.0,114036.32455653002,425.1101600020687,0.0,231450.9115350118,0.0,0.0,0.0,586377.3997662758,0.0,0.0,0.0,0.0,69848.590300226,14254.540569566252,586377.3997662757,1.0
