Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,3314,13717.656711372574,27778.254840529462,2469.1782080470634,2469.1782080470634,0.0,0.0,0.0,19753.425664376507,0.0,0.0,4079.7222645987076,0.0,0.0,101744.71718179485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2469.178208047064,101744.71718179485,1.0
 ,3315,13603.893215969743,27547.883762338734,2448.700778874554,2448.700778874554,0.0,0.0,0.0,19589.606230996433,0.0,0.0,4079.7222645987076,0.0,0.0,100900.92622617359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2448.700778874554,100900.92622617359,1.0
 ,3316,12006.019350986657,22161.474830216757,1969.908873797045,2161.0834831775983,0.0,0.0,0.0,15759.27099037636,0.0,191.1746093805532,3888.547655218157,0.0,0.0,81798.50142106568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1969.9088737970453,81798.50142106568,1.0
 ,3317,12006.019350986657,19533.656548716488,1736.325026552577,2161.0834831775983,0.0,0.0,0.0,13890.600212420615,0.0,424.7584566250214,3463.7891985931356,0.0,0.0,72939.10406479659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1736.3250265525771,72939.10406479659,1.0
 ,3318,13747.458823948258,27838.60411849522,2474.5425883106864,2474.5425883106864,0.0,0.0,0.0,19796.34070648549,0.0,0.0,3463.7891985931356,0.0,0.0,101965.76131340073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2474.5425883106864,101965.76131340073,1.0
 ,3319,22062.05820786617,44675.66787092899,3971.17047741591,3971.17047741591,0.0,0.0,0.0,31769.36381932728,0.0,0.0,3463.7891985931356,0.0,17705.172600290065,145930.4920060913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3971.170477415911,163635.66460638138,1.0
 ,3320,48556.586588943195,90083.78306000817,8007.447383111838,8740.185586009775,0.0,0.0,0.0,64059.5790648947,0.0,732.7382028979373,2731.0509956952,0.0,189698.2778602507,142657.5735048145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8007.4473831118385,332355.8513650652,1.0
 ,3321,53113.53594074109,107554.9102800007,9560.436469333396,9560.436469333396,0.0,0.0,0.0,76483.49175466716,0.0,0.0,2731.0509956952,0.0,308070.0032450471,85876.41242342585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9560.4364693334,393946.41566847306,1.0
 ,3322,57530.5506587291,116499.36508392643,10355.499118571239,10355.499118571239,0.0,0.0,0.0,82843.99294856991,0.0,0.0,2731.0509956952,0.0,353597.58993150725,73110.09996370274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10355.49911857124,426707.68989521,1.0
 ,3323,60030.09675493328,125111.6281664241,11121.033614793254,10805.41741588799,0.0,0.0,0.0,88968.26891834603,315.6161989052627,0.0,3046.6671946004626,0.0,372314.48668038537,85199.90270307664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11121.033614793256,457514.389383462,1.0
 ,3324,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.4560595511884,0.0,3611.123254151651,0.0,378384.8315719134,138567.01486096412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49765.518240847334,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
 ,3325,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,4175.579313702834,0.0,379902.4177947954,162783.92520011205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75500.01480287733,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
 ,3326,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,4740.035373254017,0.0,378384.8315719134,269329.4059977262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180527.90937760944,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
 ,3327,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,5304.4914328052,0.0,374337.93497756135,329986.66432079877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237138.27110632998,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
 ,3328,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,5868.947492356383,0.0,360173.7968973293,407301.79164802434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300289.2603533235,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
 ,3329,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.4560595511794,0.0,6433.403551907562,0.0,331845.52073686523,448443.65663730766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313102.84918214276,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
 ,3330,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,6997.859611458745,0.0,271647.933895879,476387.10730900906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280848.71301285794,0.0,0.0,0.0,11369.873475439173,467186.32819203014,1.0
 ,3331,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,7562.315671009928,0.0,153782.07058537655,479977.37665785395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143928.40063065712,21566.39849575546,0.0,21566.39849575546,11369.873475439173,468264.64811681793,1.0
 ,3332,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,8126.771730561111,0.0,14670.000154526055,473725.731770779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20199.432126928496,0.0,41765.830622683956,11369.873475439173,468196.29979837657,1.0
 ,3333,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,8691.227790112294,0.0,0.0,445089.3082699132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23260.020970649417,18505.80965203454,11369.873475439173,468349.3292405626,1.0
 ,3334,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,9255.683849663477,0.0,0.0,449605.8090225973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18505.80965203454,0.0,11369.873475439173,468111.61867463187,1.0
 ,3335,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,2370.4152631104002,1805.9592035592173,9820.13990921466,0.0,0.0,477494.59086556797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8200.62954494489,0.0,8200.62954494489,11369.873475439173,469293.96132062306,1.0
 ,3336,60030.09675493328,127911.07659869069,11369.873475439173,10805.41741588799,0.0,0.0,0.0,90958.98780351339,564.456059551183,0.0,10384.595968765843,0.0,0.0,479115.7903419267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11361.392523710992,0.0,19562.022068655882,11369.873475439173,467754.3978182157,1.0
