Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,4620,75472.75667865906,158692.99237946962,14106.043767063966,13585.096202158631,0.0,80065.90442185506,0.0,112848.35013651173,520.9475649053351,0.0,195462.11526755468,0.0,737330.1432971418,0.0,0.0,0.0,0.0,0.0,0.0,235359.22594252194,14106.043767063964,737330.1432971417,1.0
 ,4621,75472.75667865906,151365.73380207765,13454.731893518014,13585.096202158631,0.0,76369.05822760824,0.0,107637.85514814411,0.0,130.3643086406173,195331.75095891405,0.0,704386.8031370989,0.0,0.0,0.0,0.0,0.0,0.0,235359.22594252194,13454.731893518014,704386.8031370988,1.0
 ,4622,75472.75667865906,166991.40085102856,14843.680075646984,13585.096202158631,0.0,84252.72810937227,0.0,118749.44060517587,1258.5838734883525,0.0,196590.3348324024,0.0,774778.555615823,0.0,0.0,0.0,0.0,0.0,0.0,235359.22594252194,14843.680075646986,774778.555615823,1.0
 ,4623,75472.75667865906,174832.2529657597,15540.644708067528,13585.096202158631,0.0,88208.69936299128,0.0,124325.15766454022,1955.548505908898,0.0,198545.8833383113,0.0,810162.1431951283,0.0,0.0,0.0,0.0,0.0,0.0,235359.22594252194,15540.64470806753,810162.1431951283,1.0
 ,4624,75472.75667865906,171525.36838686778,15246.699412166026,13585.096202158631,0.0,86540.26586345435,0.0,121973.59529732821,1661.6032100073958,0.0,200207.4865483187,0.0,795239.0916696389,0.0,0.0,0.0,0.0,0.0,0.0,235359.22594252194,15246.699412166026,795239.0916696388,1.0
 ,4625,75472.75667865906,171234.1961597955,15220.817436426269,13585.096202158631,0.0,86393.35976915549,0.0,121766.53949141015,1635.7212342676394,0.0,201843.2077825863,0.0,793925.1122900359,0.0,0.0,0.0,0.0,0.0,0.0,235359.22594252194,15220.81743642627,793925.1122900359,1.0
 ,4626,75472.75667865906,169986.31518662875,15109.89468325589,13585.096202158631,0.0,85763.76222216043,0.0,120879.15746604712,1524.798481097261,0.0,203368.00626368358,0.0,788293.7720917381,0.0,0.0,0.0,0.0,0.0,0.0,235359.22594252194,15109.894683255892,788293.772091738,1.0
 ,4627,75472.75667865906,165868.3079751785,14743.849597793644,13585.096202158631,0.0,83686.09031707671,0.0,117950.79678234915,1158.7533956350117,0.0,204526.7596593186,0.0,769710.349437355,0.0,0.0,0.0,0.0,0.0,0.0,235359.22594252194,14743.849597793645,769710.349437355,1.0
 ,4628,75472.75667865906,147509.08689298932,13111.918834932385,13585.096202158631,0.0,74423.2513070762,0.0,104895.35067945908,0.0,473.17736722624613,204053.58229209235,0.0,687305.0712022618,0.0,0.0,0.0,0.0,0.0,0.0,235359.22594252194,13111.918834932385,687305.0712022618,1.0
 ,4629,75472.75667865906,120597.31999990046,10719.76177776893,13585.096202158631,0.0,60845.36785061644,0.0,85758.09422215144,0.0,2865.334424389701,201188.24786770265,0.0,568108.3703382891,0.0,0.0,0.0,0.0,0.0,0.0,235359.22594252194,10719.76177776893,568108.3703382891,1.0
 ,4630,56508.331313135015,114429.37090909839,10171.499636364302,10171.499636364302,0.0,57733.43193600377,0.0,81371.99709091442,0.0,0.0,201188.24786770265,0.0,532255.5044091258,0.0,0.0,0.0,0.0,0.0,0.0,235359.22594252194,10171.499636364304,532255.5044091259,1.0
