Informations,Time,MeOH-straw,Biomass wood,H2O wwtp,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,3060,5118.155964028241,5921.706450380675,6170.560279877991,548.4942471002659,374.1342078968013,0.0,4308.843466842741,0.0,4387.953976802127,174.36003920346462,0.0,12029.517563771555,29575.515239043692,0.0,0.0,0.0,5717.19639814205,0.0,12068.824994032191,0.0,0.0,0.0,548.4942471002659,23223.88664315355,1.0
 ,3061,5118.155964028241,5921.706450380675,6170.560279877991,548.4942471002659,374.1342078968013,0.0,4308.843466842741,0.0,4387.953976802127,174.36003920346462,0.0,12203.877602975019,29680.891184075914,0.0,0.0,0.0,7168.036869035125,0.0,13625.041409957488,0.0,0.0,0.0,548.4942471002659,23223.88664315355,1.0
 ,3062,5118.155964028241,5921.706450380675,6170.560279877991,548.4942471002659,374.1342078968013,0.0,4308.843466842741,0.0,4387.953976802127,174.36003920346462,0.0,12378.237642178483,30102.394964204803,0.0,0.0,0.0,7999.4173635918305,0.0,14877.925684643084,0.0,0.0,0.0,548.4942471002659,23223.88664315355,1.0
 ,3063,5118.155964028241,5921.706450380675,6170.560279877991,548.4942471002659,374.1342078968013,0.0,4308.843466842741,0.0,4387.953976802127,174.36003920346462,0.0,12552.597681381947,29716.016499086654,0.0,0.0,0.0,9685.466321740443,0.0,16177.596177673548,0.0,0.0,0.0,548.4942471002659,23223.88664315355,1.0
 ,3064,5118.155964028241,5921.706450380675,6170.560279877991,548.4942471002659,374.1342078968013,0.0,4308.843466842741,0.0,4387.953976802127,174.36003920346462,0.0,12726.957720585411,28627.13173375369,0.0,0.0,0.0,12328.65080723585,0.0,17731.895897835988,0.0,0.0,0.0,548.4942471002659,23223.88664315355,1.0
 ,3065,5118.155964028241,5921.706450380675,6170.560279877991,548.4942471002659,374.1342078968013,0.0,4308.843466842741,0.0,4387.953976802127,174.36003920346462,0.0,12901.317759788875,26695.239408162954,0.0,0.0,0.0,15847.462928454848,0.0,19318.815693464254,0.0,0.0,0.0,548.4942471002659,23223.88664315355,1.0
 ,3066,5118.155964028241,5921.706450380675,6170.560279877991,548.4942471002659,374.1342078968013,0.0,4308.843466842741,0.0,4387.953976802127,174.36003920346462,0.0,13075.67779899234,23288.083852121104,0.0,0.0,0.0,18171.60223816799,0.0,18235.799447135545,0.0,0.0,0.0,548.4942471002659,23223.88664315355,1.0
 ,3067,5118.155964028241,5921.706450380675,6170.560279877991,548.4942471002659,374.1342078968013,0.0,4308.843466842741,0.0,4387.953976802127,174.36003920346462,0.0,13250.037838195803,16649.399315091105,0.0,0.0,0.0,19717.923382105393,0.0,13143.436054042948,0.0,0.0,0.0,548.4942471002659,23223.88664315355,1.0
 ,3068,5118.155964028241,5921.706450380675,6170.560279877991,548.4942471002659,374.1342078968013,0.0,4308.843466842741,0.0,4387.953976802127,174.36003920346457,0.0,13424.397877399268,4285.288431310369,0.0,0.0,0.0,21094.24235208582,0.0,1786.4120142271613,351.64964382426473,0.0,351.64964382426473,548.4942471002659,23241.469125344764,1.0
 ,3069,5118.155964028241,5921.706450380675,5674.981623855846,504.44281100940856,374.1342078968013,0.0,4308.843466842741,0.0,4035.5424880752685,130.30860311352262,0.0,13554.70648051279,0.0,0.0,0.0,0.0,21278.217307463914,0.0,0.0,0.0,0.0,351.64964382426473,504.4428110094086,21278.217307463914,1.0
 ,3070,5118.155964028241,5921.706450380675,5647.696055415664,502.017427148059,374.1342078968013,0.0,4308.843466842741,0.0,4016.139417184472,127.8832192512578,0.0,13682.589699764048,0.0,0.0,0.0,0.0,21171.092649901988,0.0,0.0,0.0,0.0,351.64964382426473,502.01742714805914,21171.092649901988,1.0
 ,3071,5118.155964028241,5921.706450380675,5467.967202427805,486.0415291046938,374.1342078968013,0.0,4308.843466842741,0.0,3888.3322328375502,111.90732120789251,0.0,13794.497020971941,0.0,0.0,0.0,0.0,20465.46718813537,0.0,0.0,0.0,0.0,351.64964382426473,486.04152910469384,20465.467188135375,1.0
 ,3072,5118.155964028241,5921.706450380675,5169.012278646018,459.46775810186824,374.1342078968013,0.0,4308.843466842741,0.0,3675.742064814946,85.333550205067,0.0,13879.830571177008,0.0,0.0,0.0,0.0,19291.7535487612,0.0,0.0,0.0,0.0,351.64964382426473,459.46775810186836,19291.753548761204,1.0
 ,3073,5118.155964028241,5921.706450380675,4511.785977951137,401.0476424845455,374.1342078968013,0.0,4308.843466842741,0.0,3208.381139876364,26.9134345877443,0.0,13906.744005764753,0.0,0.0,0.0,0.0,16711.446579660835,0.0,0.0,0.0,0.0,351.64964382426473,401.0476424845456,16711.44657966084,1.0
 ,3074,5118.155964028241,5921.706450380675,3987.731780282553,354.46504713622693,374.1342078968013,0.0,4308.843466842741,0.0,2835.7203770898154,0.0,19.6691607605743,13887.07484500418,0.0,0.0,0.0,0.0,14338.40253497377,0.0,0.0,0.0,351.64964382426473,0.0,354.4650471362269,14690.052178798032,1.0
 ,3075,5118.155964028241,5921.706450380675,3262.6074338831236,290.00954967849987,374.1342078968013,0.0,4308.843466842741,0.0,2320.076397427999,0.0,84.12465821830136,13802.950186785878,0.0,0.0,0.0,0.0,11886.179395567015,0.0,0.0,0.0,0.0,0.0,290.00954967849987,11886.179395567013,1.0
 ,3076,5118.155964028241,5921.706450380675,2785.0298255620028,247.5582067166225,374.1342078968013,0.0,4308.843466842741,0.0,1980.46565373298,0.0,126.57600118017868,13676.374185605699,0.0,0.0,0.0,0.0,10051.08743559311,0.0,0.0,0.0,0.0,0.0,247.55820671662252,10051.08743559311,1.0
 ,3077,5118.155964028241,5921.706450380675,3292.742003964081,292.68817813014056,374.1342078968013,0.0,4308.843466842741,0.0,2341.5054250411245,0.0,81.44602976666067,13594.928155839038,3266.6542959988874,0.0,0.0,0.0,8735.317185104208,0.0,0.0,0.0,0.0,0.0,292.68817813014056,12001.971481103095,1.0
 ,3078,5118.155964028241,5921.706450380675,5566.312159240074,494.78330304356217,374.1342078968013,0.0,4308.843466842741,0.0,3958.2664243484974,120.649095146761,0.0,13715.577250985798,13874.499429242587,0.0,0.0,0.0,6977.0755229464685,0.0,0.0,0.0,0.0,0.0,494.7833030435622,20851.574952189058,1.0
