Informations,Time,MeOH biogas H2,Biogas w H2,H2O wwtp,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,1961,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,204.6332741252226,2149.6571014474866,0.0,0.0,0.0,0.0,3617.5199729582505,0.0,0.0,0.0,0.0,133.38018015333628,5767.177074405737,1.0
 ,1962,3475.3709198813062,4367.952522255193,1483.748080005397,131.88871822270195,131.88871822270195,0.0,0.0,0.0,1055.1097457816156,0.0,0.0,204.6332741252226,465.2242980744561,0.0,0.0,0.0,0.0,5236.077699346281,0.0,0.0,0.0,0.0,131.88871822270195,5701.301997420738,1.0
 ,1963,3475.3709198813062,4367.952522255193,409.895489948676,36.43515466210454,131.88871822270195,0.0,0.0,0.0,291.4812372968363,0.0,95.45356356059742,109.1797105646252,0.0,0.0,0.0,0.0,0.0,1575.0234201277879,0.0,0.0,0.0,0.0,36.43515466210454,1575.0234201277879,1.0
 ,1964,3475.3709198813062,4367.952522255193,1483.748080005397,131.88871822270195,131.88871822270195,0.0,0.0,0.0,1055.1097457816156,0.0,0.0,109.1797105646252,0.0,0.0,0.0,0.0,0.0,5701.301997420738,0.0,0.0,0.0,0.0,131.88871822270195,5701.301997420738,1.0
 ,1965,3475.3709198813062,4367.952522255193,1483.748080005397,131.88871822270195,131.88871822270195,0.0,0.0,0.0,1055.1097457816156,0.0,0.0,109.1797105646252,0.0,0.0,0.0,0.0,0.0,5701.301997420738,0.0,0.0,0.0,0.0,131.88871822270195,5701.301997420738,1.0
 ,1966,3475.3709198813062,4367.952522255193,1483.748080005397,131.88871822270195,131.88871822270195,0.0,0.0,0.0,1055.1097457816156,0.0,0.0,109.1797105646252,0.0,0.0,0.0,0.0,0.0,5701.301997420738,0.0,0.0,0.0,0.0,131.88871822270195,5701.301997420738,1.0
 ,1967,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,110.67117249525953,0.0,0.0,0.0,0.0,0.0,5767.1770744057385,0.0,1.7323708605198632e-12,0.0,1.7323708605198632e-12,133.38018015333628,5767.177074405738,1.0
 ,1968,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,112.16263442589386,0.0,0.0,0.0,0.0,0.0,5767.1770744057385,0.0,8.661854302599316e-13,0.0,2.5985562907797946e-12,133.38018015333628,5767.177074405737,1.0
 ,1969,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,113.65409635652819,0.0,0.0,0.0,0.0,0.0,5767.177074405729,0.0,-7.385370510637313e-12,0.0,-4.786814219857517e-12,133.38018015333628,5767.177074405737,1.0
 ,1970,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,115.14555828716252,0.0,0.0,0.0,0.0,0.0,5767.1770744057385,0.0,0.0,-1.9147256879430067e-12,-2.8720885319145103e-12,133.38018015333628,5767.177074405737,1.0
 ,1971,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,116.63702021779685,0.0,0.0,0.0,0.0,0.0,5767.1770744057385,0.0,0.0,-9.573628439715034e-13,-1.9147256879430067e-12,133.38018015333628,5767.177074405737,1.0
 ,1972,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,118.12848214843117,0.0,0.0,0.0,0.0,0.0,5767.1770744057385,0.0,0.0,-9.573628439715034e-13,-9.573628439715034e-13,133.38018015333628,5767.177074405737,1.0
 ,1973,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,119.6199440790655,0.0,0.0,0.0,0.0,0.0,5767.1770744057385,0.0,0.0,-9.573628439715034e-13,0.0,133.38018015333628,5767.177074405737,1.0
 ,1974,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,121.11140600969983,0.0,0.0,0.0,0.0,0.0,5767.177074405737,0.0,0.0,0.0,0.0,133.38018015333628,5767.177074405737,1.0
 ,1975,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,122.60286794033416,673.7731213492123,0.0,0.0,0.0,0.0,5093.403953056525,0.0,0.0,0.0,0.0,133.38018015333628,5767.177074405737,1.0
 ,1976,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,124.0943298709685,1965.1716039352025,0.0,0.0,0.0,0.0,3802.0054704705344,0.0,0.0,0.0,0.0,133.38018015333628,5767.177074405737,1.0
 ,1977,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,125.58579180160282,3360.8444981585703,0.0,0.0,0.0,0.0,2406.3325762471673,0.0,0.0,0.0,0.0,133.38018015333628,5767.177074405737,1.0
 ,1978,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,127.07725373223715,4427.651940294823,0.0,0.0,0.0,0.0,1339.5251341109133,0.0,0.0,0.0,0.0,133.38018015333628,5767.177074405737,1.0
 ,1979,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,128.56871566287148,5245.805016218867,0.0,0.0,0.0,0.0,521.3720581868702,0.0,0.0,0.0,0.0,133.38018015333628,5767.177074405737,1.0
 ,1980,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,130.0601775935058,5590.712685480963,0.0,0.0,0.0,0.0,176.46438892477363,0.0,0.0,0.0,0.0,133.38018015333628,5767.177074405737,1.0
 ,1981,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,131.55163952414014,5606.7549026559445,0.0,0.0,0.0,0.0,160.42217174979214,0.0,0.0,0.0,0.0,133.38018015333628,5767.177074405737,1.0
 ,1982,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,133.04310145477447,5502.480491018568,0.0,0.0,0.0,0.0,264.6965833871691,0.0,0.0,0.0,0.0,133.38018015333628,5767.177074405737,1.0
 ,1983,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,134.5345633854088,5125.488387406507,0.0,0.0,0.0,0.0,641.6886869992295,0.0,0.0,0.0,0.0,133.38018015333628,5767.177074405737,1.0
 ,1984,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,136.02602531604313,4387.546397357371,0.0,0.0,0.0,0.0,1379.630677048367,0.0,0.0,0.0,0.0,133.38018015333628,5767.177074405737,1.0
 ,1985,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,137.51748724667746,3023.9579374839645,0.0,0.0,0.0,0.0,2743.219136921773,0.0,0.0,0.0,0.0,133.38018015333628,5767.177074405737,1.0
 ,1986,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,139.0089491773118,1098.8918764862153,0.0,0.0,0.0,0.0,4668.285197919522,0.0,0.0,0.0,0.0,133.38018015333628,5767.177074405737,1.0
 ,1987,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,140.50041110794612,0.0,0.0,0.0,0.0,0.0,5767.177074405737,0.0,0.0,0.0,0.0,133.38018015333628,5767.177074405737,1.0
 ,1988,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,141.99187303858045,0.0,0.0,0.0,0.0,0.0,5767.177074405738,0.0,0.0,0.0,0.0,133.38018015333628,5767.177074405737,1.0
 ,1989,3475.3709198813062,4367.952522255193,1500.5270267250335,133.3801801533363,131.88871822270195,0.0,0.0,0.0,1067.0414412266905,1.4914619306343597,0.0,143.4833349692148,0.0,0.0,0.0,0.0,0.0,5767.1770744057385,0.0,0.0,0.0,0.0,133.3801801533363,5767.177074405738,1.0
 ,1990,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,144.97479689984914,0.0,0.0,0.0,0.0,0.0,5767.177074405737,0.0,0.0,0.0,0.0,133.38018015333628,5767.177074405737,1.0
 ,1991,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,146.46625883048347,0.0,0.0,0.0,0.0,0.0,5767.177074405737,0.0,0.0,0.0,0.0,133.38018015333628,5767.177074405737,1.0
 ,1992,3475.3709198813062,4367.952522255193,1500.5270267250335,133.3801801533363,131.88871822270195,0.0,0.0,0.0,1067.0414412266905,1.4914619306343582,0.0,147.95772076111783,0.0,0.0,0.0,0.0,0.0,5767.1770744057385,0.0,0.0,0.0,0.0,133.3801801533363,5767.177074405738,1.0
 ,1993,3475.3709198813062,4367.952522255193,1500.5270267250335,133.3801801533363,131.88871822270195,0.0,0.0,0.0,1067.0414412266905,1.4914619306343597,0.0,149.44918269175218,0.0,0.0,0.0,0.0,0.0,5767.1770744057385,0.0,0.0,0.0,0.0,133.3801801533363,5767.177074405738,1.0
 ,1994,3475.3709198813062,4367.952522255193,1500.527026725035,133.38018015333645,131.88871822270195,0.0,0.0,0.0,1067.0414412266916,1.4914619306345003,0.0,150.94064462238669,0.0,0.0,0.0,0.0,0.0,5767.1770744057385,0.0,0.0,5.5208747626455155e-12,-5.5208747626455155e-12,133.38018015333645,5767.177074405745,1.0
 ,1995,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,152.43210655302101,0.0,0.0,0.0,0.0,0.0,5767.1770744057385,0.0,1.7323708605198632e-12,0.0,-3.788503902125653e-12,133.38018015333628,5767.177074405738,1.0
 ,1996,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,153.92356848365534,0.0,0.0,0.0,0.0,0.0,5767.1770744057385,0.0,1.1899476113458583e-12,0.0,-2.5985562907797946e-12,133.38018015333628,5767.177074405737,1.0
 ,1997,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,155.41503041428967,0.0,0.0,0.0,0.0,0.0,5767.1770744057385,0.0,1.7323708605198632e-12,0.0,-8.661854302599316e-13,133.38018015333628,5767.177074405738,1.0
 ,1998,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,156.906492344924,0.0,0.0,0.0,0.0,0.0,5767.1770744057385,0.0,8.661854302599316e-13,0.0,0.0,133.38018015333628,5767.177074405737,1.0
 ,1999,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,158.39795427555833,336.88656067460613,0.0,0.0,0.0,0.0,5430.290513731132,0.0,0.0,0.0,0.0,133.38018015333628,5767.177074405737,1.0
 ,2000,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,159.88941620619266,1227.2296138860652,0.0,0.0,0.0,0.0,4539.947460519672,0.0,0.0,0.0,0.0,133.38018015333628,5767.177074405737,1.0
 ,2001,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,161.380878136827,2518.6280964720554,0.0,0.0,0.0,0.0,3248.5489779336817,0.0,0.0,0.0,0.0,133.38018015333628,5767.177074405737,1.0
 ,2002,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,162.87234006746132,3296.6756294586453,0.0,0.0,0.0,0.0,2470.5014449470923,0.0,0.0,0.0,0.0,133.38018015333628,5767.177074405737,1.0
 ,2003,3475.3709198813062,4367.952522255193,1500.5270267250332,133.38018015333628,131.88871822270195,0.0,0.0,0.0,1067.0414412266903,1.4914619306343297,0.0,164.36380199809565,3818.047687645536,0.0,0.0,0.0,0.0,1949.1293867602012,0.0,0.0,0.0,0.0,133.38018015333628,5767.177074405737,1.0
