Informations,Time,MeOH biogas H2,Biogas w H2,H2O wwtp,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,6206,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,106496.12636141512,86407.0636014496,119768.91878928198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69616.28573620983,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6207,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,107652.81034026452,97183.45475355782,124155.2909841672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84779.04908320327,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6208,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,108809.49431911389,78373.75383351438,125699.72223363788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67513.77941263051,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6209,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,109966.17829796326,49571.39929969784,109204.20027969702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22215.902924873117,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6210,52101.06288778122,65482.210186828845,29720.056095406424,2641.7827640361265,1977.2112274405904,0.0,0.0,0.0,664.5715365955364,0.0,110630.7498345588,9012.981690854152,105811.03110014486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2641.782764036127,114824.01279099901,1.0
 ,6211,52101.06288778122,65482.210186828845,25699.943820024244,2284.439450668822,1977.2112274405904,0.0,0.0,0.0,307.2282232282309,0.0,110937.97805778703,0.0,99040.8286582777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2284.4394506688213,99040.82865827768,1.0
 ,6212,52101.06288778122,65482.210186828845,24902.19418280892,2213.5283718052374,1977.2112274405904,0.0,0.0,0.0,236.31714436464662,0.0,111174.29520215167,0.0,95908.81926314604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2213.5283718052374,95908.81926314604,1.0
 ,6213,52101.06288778122,65482.210186828845,24734.363316800886,2198.6100726045233,1977.2112274405904,0.0,0.0,0.0,221.39884516393258,0.0,111395.6940473156,0.0,95249.90595926151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2198.610072604523,95249.9059592615,1.0
 ,6214,52101.06288778122,65482.210186828845,28325.173995910467,2517.7932440809304,1977.2112274405904,0.0,0.0,0.0,540.58201664034,0.0,111936.27606395594,0.0,109347.62817492789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2517.79324408093,109347.62817492789,1.0
 ,6215,52101.06288778122,65482.210186828845,28962.614717417837,2574.4546415482523,1977.2112274405904,0.0,0.0,0.0,597.2434141076615,0.0,112533.51947806361,0.0,111850.25586093924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2574.454641548252,111850.25586093923,1.0
 ,6216,52101.06288778122,65482.210186828845,34400.72480366622,3057.8422047703307,1977.2112274405904,0.0,0.0,0.0,1080.6309773297403,0.0,113614.15045539336,0.0,133200.57817677743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3057.8422047703307,133200.5781767774,1.0
 ,6217,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,114770.83443424273,0.0,151031.93945537604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14472.242800854292,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6218,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,115927.5184130921,0.0,153157.89093835218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16598.19428383044,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6219,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,117084.20239194146,0.0,144760.5483984812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8200.851743959443,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6220,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,118240.88637079089,0.0,145730.93953945735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9171.242884935607,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6221,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,119397.57034964026,0.0,153381.86234011693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16822.165685595188,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6222,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,120554.25432848962,9404.850460021724,154488.6680417153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27333.82184721529,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6223,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,121710.93830733899,37227.53307091933,161759.79414956077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62427.63056595835,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6224,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,122867.62228618836,57800.64345221684,162092.09148340762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83333.03828110272,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6225,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,124024.30626503773,62894.937451395286,162945.04729747883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89280.28809435238,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6226,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,125180.99024388709,67793.29706598993,162945.04729747883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94178.64770894701,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6227,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,126337.67422273646,88758.27621645502,162748.68570910703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114947.2652710403,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6228,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,127494.35820158583,82096.5071406063,162651.84702971915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108188.65751580372,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6229,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,128651.0421804352,70340.44406557914,162775.98844961022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96556.73586066761,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6230,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,129807.72615928456,62307.13429764393,162866.29882483184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88613.73646795403,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6231,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.683978849047,0.0,130964.41013813361,67009.5595276548,162944.99252840344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93394.85540153678,0.0,0.0,0.0,3133.895206289964,136559.69665452145,1.0
 ,6232,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,132121.09411698297,69556.706527244,162929.84756739132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95926.85744011357,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6233,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,133277.77809583236,41929.958300930186,162945.04729747883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68315.30894388727,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6234,52101.06288778122,65482.210186828845,35256.32107076209,3133.8952062899634,1977.2112274405904,0.0,0.0,0.0,1156.683978849373,0.0,134434.46207468174,7641.440998767651,162945.04729747883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34026.79164172473,0.0,0.0,0.0,3133.8952062899634,136559.69665452174,1.0
 ,6235,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,135591.14605353112,0.0,161774.06112450472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25214.364469982975,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6236,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,136747.8300323805,0.0,149657.9758626779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13098.279208156164,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6237,52101.06288778122,65482.210186828845,34638.0867887024,3078.9410478846576,1977.2112274405904,0.0,0.0,0.0,1101.729820444067,0.0,137849.55985282458,0.0,134132.4745168064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3078.941047884657,134132.4745168064,1.0
 ,6238,52101.06288778122,65482.210186828845,33627.54194681221,2989.114839716641,1977.2112274405904,0.0,0.0,0.0,1011.9036122760511,0.0,138861.46346510062,0.0,130165.01932616545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2989.1148397166417,130165.01932616545,1.0
 ,6239,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,140018.14744395,0.0,138412.3967425636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1852.7000880418636,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6240,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,141174.83142279938,0.0,150310.2703156483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13750.573661126546,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
 ,6241,52101.06288778122,65482.210186828845,35256.32107076209,3133.895206289964,1977.2112274405904,0.0,0.0,0.0,1156.6839788493735,0.0,142331.51540164876,0.0,154422.82141509405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17863.124760572304,0.0,0.0,0.0,3133.895206289964,136559.69665452174,1.0
