Informations,Time,MeOH biogas H2,Biogas w H2,H2O wwtp,H2_from_AEC,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,3174,3719.7794136251655,4675.132596359497,1570.5853982916874,139.6075909592611,141.1639074631413,0.0,792.4126862847659,0.0,1116.8607276740888,0.0,1.556316503880197,3875.7181196874894,4187.60912011519,0.0,0.0,0.0,2768.7753731517428,0.0,0.0,0.0,0.0,0.0,139.60759095926113,6956.384493266933,1.0
 ,3175,3719.7794136251655,4675.132596359497,2488.7773289786246,221.22465146476665,141.1639074631413,0.0,1255.6711217140153,0.0,1769.7972117181332,80.06074400162535,0.0,3955.7788636891146,8089.014739215313,0.0,0.0,0.0,3748.9452204404824,0.0,739.4932740264439,0.0,0.0,0.0,221.22465146476665,11098.466685629352,1.0
 ,3176,3719.7794136251655,4675.132596359497,2488.7773289786246,221.22465146476665,141.1639074631413,0.0,1255.6711217140153,0.0,1769.7972117181332,80.06074400162535,0.0,4035.8396076907397,10303.32603654241,0.0,0.0,0.0,4448.732751460691,0.0,3653.59210237375,0.0,0.0,0.0,221.22465146476665,11098.466685629352,1.0
 ,3177,3719.7794136251655,4675.132596359497,2488.7773289786246,221.22465146476665,141.1639074631413,0.0,1255.6711217140153,0.0,1769.7972117181332,80.06074400162535,0.0,4115.900351692365,11583.710120030866,0.0,0.0,0.0,4718.600730869151,0.0,5203.844165270666,0.0,0.0,0.0,221.22465146476665,11098.466685629352,1.0
 ,3178,3719.7794136251655,4675.132596359497,2488.7773289786246,221.22465146476665,141.1639074631413,0.0,1255.6711217140153,0.0,1769.7972117181332,80.06074400162535,0.0,4195.9610956939905,12321.813885806565,0.0,0.0,0.0,4828.417138074326,0.0,6051.76433825154,0.0,0.0,0.0,221.22465146476665,11098.466685629352,1.0
 ,3179,3719.7794136251655,4675.132596359497,2488.7773289786246,221.22465146476665,141.1639074631413,0.0,1255.6711217140153,0.0,1769.7972117181332,80.06074400162535,0.0,4276.021839695616,12623.08072898032,0.0,0.0,0.0,4352.935460068943,0.0,5877.549503419911,0.0,0.0,0.0,221.22465146476665,11098.466685629352,1.0
 ,3180,3719.7794136251655,4675.132596359497,2488.7773289786246,221.22465146476665,141.1639074631413,0.0,1255.6711217140153,0.0,1769.7972117181332,80.06074400162535,0.0,4356.082583697242,12517.637333869505,0.0,0.0,0.0,4519.996590178943,0.0,5939.167238419096,0.0,0.0,0.0,221.22465146476665,11098.466685629352,1.0
 ,3181,3719.7794136251655,4675.132596359497,2488.7773289786246,221.22465146476665,141.1639074631413,0.0,1255.6711217140153,0.0,1769.7972117181332,80.0607440016247,0.0,4436.143327698866,12532.700676028193,0.0,0.0,0.0,6184.766593023344,0.0,7619.000583422186,0.0,0.0,0.0,221.22465146476665,11098.466685629352,1.0
 ,3182,3719.7794136251655,4675.132596359497,2488.7773289786246,221.22465146476665,141.1639074631413,0.0,1255.6711217140153,0.0,1769.7972117181332,80.06074400162535,0.0,4516.204071700492,12608.017386821632,0.0,0.0,0.0,8648.62619723306,0.0,10158.17689842534,0.0,0.0,0.0,221.22465146476665,11098.466685629352,1.0
 ,3183,3719.7794136251655,4675.132596359497,1588.0939589603395,141.1639074631413,141.1639074631413,0.0,801.24633876079,0.0,1129.3112597051304,0.0,0.0,4516.204071700492,12367.003912282627,0.0,0.0,0.0,10607.797632159421,0.0,15940.868717880212,0.0,0.0,0.0,141.1639074631413,7033.932826561837,1.0
 ,3184,3719.7794136251655,4675.132596359497,2488.7773289786246,221.22465146476665,141.1639074631413,0.0,1255.6711217140153,0.0,1769.7972117181332,80.06074400162535,0.0,4596.264815702118,11824.72359456987,0.0,0.0,0.0,11052.904559235714,0.0,11779.161468176233,0.0,0.0,0.0,221.22465146476665,11098.466685629352,1.0
 ,3185,3719.7794136251655,4675.132596359497,2488.7773289786246,221.22465146476665,141.1639074631413,0.0,1255.6711217140153,0.0,1769.7972117181332,80.06074400162535,0.0,4676.325559703743,10890.79638073123,0.0,0.0,0.0,11098.46668562935,0.0,10890.796380731228,0.0,0.0,0.0,221.22465146476665,11098.466685629352,1.0
 ,3186,3719.7794136251655,4675.132596359497,2488.7773289786246,221.22465146476665,141.1639074631413,0.0,1255.6711217140153,0.0,1769.7972117181332,80.06074400162561,0.0,4756.386303705369,9339.272138386394,0.0,0.0,0.0,11098.46668562935,0.0,9339.27213838639,0.0,0.0,0.0,221.22465146476665,11098.466685629353,1.0
 ,3187,3719.7794136251655,4675.132596359497,2488.7773289786246,221.22465146476665,141.1639074631413,0.0,1255.6711217140153,0.0,1769.7972117181332,80.06074400162535,0.0,4836.447047706994,6507.363812553101,0.0,0.0,0.0,11098.46668562935,0.0,6507.363812553099,0.0,0.0,0.0,221.22465146476665,11098.466685629352,1.0
 ,3188,3719.7794136251655,4675.132596359497,2488.7773289786246,221.22465146476665,141.1639074631413,0.0,1255.6711217140153,0.0,1769.7972117181332,80.06074400162535,0.0,4916.50779170862,2425.1980875487247,0.0,0.0,0.0,11098.46668562935,0.0,2425.198087548723,0.0,0.0,0.0,221.22465146476665,11098.466685629352,1.0
