Informations,Time,MeOH biogas H2,Biogas w H2,H2O wwtp,H2_from_AEC,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,3173,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,155.70265313483037,0.0,455.7348507463615,0.0,0.0,0.0,0.0,6231.4765306135005,0.0,0.0,1.4753890117422166e-11,0.0,134.16266164033468,6687.211381359876,1.0
 ,3174,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,157.9765965524631,0.0,2585.5977246426223,0.0,0.0,0.0,0.0,4101.613656717253,0.0,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3175,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,160.25053997009582,0.0,4994.481935730533,0.0,0.0,0.0,0.0,1692.7294456293419,0.0,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3176,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,162.52448338772854,0.0,6361.686487969618,0.0,0.0,0.0,0.0,325.5248933902574,0.0,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3177,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,164.79842680536126,0.0,7152.246943345958,0.0,0.0,0.0,0.0,0.0,465.03556198608294,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3178,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,167.07237022299398,0.0,7607.981794092319,0.0,0.0,0.0,0.0,0.0,920.7704127324441,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3179,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,169.3463136406267,0.0,7793.996018886753,0.0,0.0,0.0,0.0,0.0,1106.7846375268773,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3180,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,171.62025705825943,0.0,7728.891040208701,0.0,0.0,0.0,0.0,0.0,1041.679658848826,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3181,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,173.89420047589215,0.0,7738.191751448423,0.0,0.0,0.0,0.0,0.0,1050.9803700885477,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3182,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,176.16814389352487,0.0,7784.695307647031,0.0,0.0,0.0,0.0,0.0,1097.4839262871556,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3183,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,178.4420873111576,0.0,7635.883927811485,0.0,0.0,0.0,0.0,0.0,948.6725464516094,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3184,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,180.71603072879032,0.0,7301.058323181505,0.0,0.0,0.0,0.0,0.0,613.84694182163,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3185,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,182.98997414642304,0.0,6724.414226318761,0.0,0.0,0.0,0.0,0.0,37.20284495888609,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3186,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,185.26391756405576,0.0,5766.44096862743,0.0,0.0,0.0,0.0,920.7704127324448,0.0,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3187,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,187.53786098168848,0.0,4017.907255559758,0.0,0.0,0.0,0.0,2669.304125800117,0.0,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
 ,3188,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,189.8118043993212,0.0,1497.4145095951876,0.0,0.0,0.0,0.0,5189.796871764677,0.0,0.0,1.046180685941516e-11,-1.046180685941516e-11,134.16266164033468,6687.211381359876,1.0
 ,3189,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,192.08574781695393,0.0,0.0,0.0,0.0,0.0,0.0,6687.211381359877,0.0,0.0,-2.1367702928680384e-12,-8.325036566547122e-12,134.16266164033468,6687.211381359875,1.0
 ,3190,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,194.35969123458665,0.0,0.0,0.0,0.0,0.0,0.0,6687.211381359877,0.0,0.0,-2.1367702928680384e-12,-6.188266273679084e-12,134.16266164033468,6687.211381359875,1.0
 ,3191,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,196.63363465221937,0.0,0.0,0.0,0.0,0.0,0.0,6687.211381359877,0.0,0.0,-2.1367702928680384e-12,-4.0514959808110455e-12,134.16266164033468,6687.211381359875,1.0
 ,3192,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,198.9075780698521,0.0,0.0,0.0,0.0,0.0,0.0,6687.211381359877,0.0,0.0,-2.1367702928680384e-12,-1.9147256879430067e-12,134.16266164033468,6687.211381359875,1.0
 ,3193,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,201.18152148748482,0.0,0.0,0.0,0.0,0.0,0.0,6687.211381359877,0.0,0.0,-1.9147256879430067e-12,0.0,134.16266164033468,6687.211381359875,1.0
 ,3194,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,203.45546490511754,0.0,0.0,0.0,0.0,0.0,0.0,6687.211381359877,0.0,0.0,-2.1367702928680384e-12,2.1367702928680384e-12,134.16266164033468,6687.211381359875,1.0
 ,3195,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,205.72940832275026,0.0,0.0,0.0,0.0,0.0,0.0,6687.211381359877,0.0,0.0,-2.1367702928680384e-12,4.273540585736077e-12,134.16266164033468,6687.211381359875,1.0
 ,3196,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,208.00335174038298,0.0,0.0,0.0,0.0,0.0,0.0,6687.211381359877,0.0,0.0,-2.1367702928680384e-12,6.410310878604115e-12,134.16266164033468,6687.211381359875,1.0
 ,3197,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,210.2772951580157,0.0,902.1689902530013,0.0,0.0,0.0,0.0,5785.042391106874,0.0,0.0,0.0,6.410310878604115e-12,134.16266164033468,6687.211381359875,1.0
 ,3198,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,212.55123857564843,0.0,3004.129730430097,0.0,0.0,0.0,0.0,3683.081650929772,0.0,0.0,6.410310878604115e-12,0.0,134.16266164033468,6687.211381359875,1.0
 ,3199,3475.3709198813062,4367.952522255193,1509.329943453765,134.16266164033468,131.88871822270195,0.0,761.5072674705395,0.0,1073.3012931226774,2.2739434176327222,0.0,214.82518199328115,0.0,4929.376957052481,0.0,0.0,0.0,0.0,1757.834424307394,0.0,0.0,0.0,0.0,134.16266164033468,6687.211381359875,1.0
