Informations,Time,Biomass wheat 2,Biochar,DME-W2,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_Wheat-2,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,4049,6075.538444231871,1168.3727777368981,3338.2079363911375,5716.1094801218105,508.09862045527206,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,4064.7889636421764,0.0,0.0,13825.203039826029,23152.855208814206,0.0,0.0,0.0,3471.664322264211,0.0,7096.803358517476,0.0,0.0,15586.824414256134,508.09862045527206,19527.71617256094,1.0
 ,4050,6075.538444231871,1168.3727777368981,3338.2079363911375,3682.1222376817313,327.29975446059836,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,2618.398035684787,0.0,180.7988659946737,13644.404173831355,9016.473946289681,0.0,0.0,0.0,4322.836041147318,0.0,0.0,0.0,0.0,15586.824414256134,327.29975446059836,13339.309987436998,1.0
 ,4051,6075.538444231871,1168.3727777368981,3338.2079363911375,2005.2580490244236,178.2451599132821,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,1425.9612793062568,0.0,329.85346054199,13314.550713289365,3216.9329155103883,0.0,0.0,0.0,5020.51777793675,0.0,0.0,0.0,0.0,15586.824414256134,178.2451599132821,8237.450693447137,1.0
 ,4052,6075.538444231871,1168.3727777368981,3338.2079363911375,1614.9884252582453,143.5545266896218,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,1148.4362135169745,0.0,364.54409376565025,12950.006619523716,1585.8120006037127,0.0,0.0,0.0,5464.243362534828,0.0,0.0,0.0,0.0,15586.824414256134,143.5545266896218,7050.055363138539,1.0
 ,4053,6075.538444231871,1168.3727777368981,3338.2079363911375,1367.1082706647499,121.52073517019998,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,972.1658813615999,0.0,386.57788528507206,12563.428734238643,0.0,0.0,0.0,0.0,6295.87999278783,0.0,0.0,0.0,0.0,15586.824414256134,121.52073517019998,6295.87999278783,1.0
 ,4054,6075.538444231871,1168.3727777368981,3338.2079363911375,1452.4123318268425,129.10331838460823,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,1032.8265470768658,0.0,378.99530207066374,12184.43343216798,0.0,0.0,0.0,0.0,6555.417598873498,0.0,0.0,0.0,0.0,15586.824414256134,129.10331838460826,6555.417598873498,1.0
 ,4055,6075.538444231871,1168.3727777368981,3338.2079363911375,1680.8070762285759,149.40507344254007,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,1195.2405875403206,0.0,358.693547012732,11825.739885155248,0.0,0.0,0.0,0.0,7250.308608715772,0.0,0.0,0.0,0.0,15586.824414256134,149.4050734425401,7250.308608715772,1.0
 ,4056,6075.538444231871,1168.3727777368981,3338.2079363911375,8167.192754027192,725.9726892468615,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5807.781513974892,217.87406879158942,0.0,12043.613953946837,0.0,0.0,0.0,0.0,12382.455464538829,0.0,0.0,0.0,15586.824414256134,0.0,725.9726892468615,27969.27987879496,1.0
 ,4057,6075.538444231871,1168.3727777368981,3338.2079363911375,5813.097364231241,516.7197657094437,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,4133.758125675549,8.621145254171608,0.0,12052.235099201009,0.0,0.0,0.0,0.0,19830.9056865028,0.0,0.0,0.0,0.0,0.0,516.7197657094437,19830.9056865028,1.0
 ,4058,6075.538444231871,1168.3727777368981,3338.2079363911375,7195.045073549031,639.5595620932472,508.09862045527206,0.0,5541.425174409288,3672.0287300302516,5116.476496745978,131.46094163797517,0.0,12183.696040838984,0.0,0.0,0.0,0.0,24150.95100070296,0.0,0.0,0.0,0.0,0.0,639.5595620932475,24150.95100070296,1.0
