Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,CSP_tower,Charge_TES,Discharge_TES,TES,CSP + TES,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40659.564642381585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223076.759401726,0.0,0.0,1.0
 ,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40659.564642381585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223076.759401726,0.0,0.0,1.0
 ,55,56433.379275696316,0.0,0.0,10158.008269625338,0.0,0.0,0.0,0.0,0.0,10158.008269625338,30501.55637275625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35048.098708064026,188028.66069366198,0.0,35048.098708064026,1.0
 ,56,2387.40376100027,4834.492616025547,429.73267698004867,429.73267698004867,0.0,0.0,0.0,3437.8614158403893,0.0,0.0,30501.55637275625,0.0,17707.52290807407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188028.66069366198,429.73267698004867,17707.52290807407,1.0
 ,57,17446.41209961736,35328.98450172516,3140.354177931125,3140.3541779311245,0.0,0.0,0.0,25122.833423449,0.0,0.0,30501.55637275625,0.0,129401.1289436182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188028.66069366198,3140.354177931125,129401.12894361818,1.0
 ,58,44075.14635692806,89252.17137277934,7933.526344247052,7933.526344247051,0.0,0.0,0.0,63468.21075397642,0.0,0.0,30501.55637275625,0.0,326908.1152259828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188028.66069366198,7933.526344247052,326908.1152259828,1.0
 ,59,56433.379275696316,149250.2216505468,13266.686368937493,10158.008269625338,0.0,0.0,0.0,106133.49095149995,3108.6780993121547,0.0,33610.234472068405,0.0,539398.3901228716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188028.66069366198,13266.686368937493,539398.3901228716,1.0
 ,60,56433.379275696316,187492.62043922365,16666.01070570877,10158.008269625338,0.0,0.0,0.0,133328.08564567016,6508.00243608343,0.0,40118.23690815183,0.0,671523.7533600397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188028.66069366198,16666.01070570877,671523.7533600397,1.0
 ,61,56433.379275696316,207599.44866832183,18453.28432607305,10158.008269625338,0.0,0.0,0.0,147626.2746085844,8295.276056447708,0.0,48413.51296459954,0.0,740991.7278455611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188028.66069366198,18453.28432607305,740991.7278455611,1.0
 ,62,56433.379275696316,217455.7370159189,19329.398845859458,10158.008269625338,0.0,0.0,0.0,154635.19076687566,9171.390576234118,0.0,57584.90354083366,0.0,775044.6565149341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188028.66069366198,19329.398845859458,775044.6565149341,1.0
 ,63,56433.379275696316,209964.9578717451,18663.551810821788,10158.008269625338,0.0,0.0,0.0,149308.4144865743,8505.543541196448,0.0,66090.4470820301,0.0,749164.4307262106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188028.66069366198,18663.551810821788,749164.4307262105,1.0
 ,64,56433.379275696316,189463.87810874305,16841.23360966605,10158.008269625338,0.0,0.0,0.0,134729.8688773284,6683.2253400407135,0.0,72773.67242207083,0.0,678334.3390939143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188028.66069366198,16841.23360966605,678334.3390939143,1.0
 ,65,56433.379275696316,153586.98852348953,13652.176757643514,10158.008269625338,0.0,0.0,0.0,109217.41406114811,3494.1684880181742,0.0,76267.840910089,0.0,554381.6787373958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188028.66069366198,13652.176757643514,554381.6787373958,1.0
