Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,4424,60025.98667092892,121552.62300863105,10804.677600767205,10804.677600767205,0.0,0.0,0.0,86437.42080613764,0.0,0.0,36366.857362549155,0.0,173609.93723992142,475324.018276643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203717.4607541177,0.0,0.0,0.0,10804.677600767205,445216.49476244673,1.0
 ,4425,60025.98667092892,59683.9816191731,5305.242810593165,10804.677600767205,0.0,0.0,0.0,42441.94248474532,0.0,5499.43479017404,30867.422572375115,0.0,282492.47013316693,469001.70358893374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514860.9291107238,0.0,0.0,0.0,5305.242810593165,236633.24461137693,1.0
 ,4426,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,611.0483100193378,0.0,31478.470882394453,0.0,329658.1756260936,470220.49129460234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330911.8700633788,0.0,0.0,0.0,11415.725910786543,468966.7968573171,1.0
 ,4427,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,611.0483100193378,0.0,32089.51919241379,0.0,349226.9257774142,433374.19575754524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313634.3246776423,0.0,0.0,0.0,11415.725910786543,468966.7968573171,1.0
 ,4428,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,611.0483100193378,0.0,32700.56750243313,0.0,356251.6053189139,428545.23551729746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315830.04397889425,0.0,0.0,0.0,11415.725910786543,468966.7968573171,1.0
 ,4429,60025.98667092892,121552.62300863105,10804.677600767205,10804.677600767205,0.0,0.0,0.0,86437.42080613764,0.0,0.0,32700.56750243313,0.0,356251.6053189139,438827.1930293793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349862.30358584644,0.0,0.0,0.0,10804.677600767205,445216.49476244673,1.0
 ,4430,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,611.0483100193378,0.0,33311.615812452466,0.0,352739.265548164,444062.6408633584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327835.1095542053,0.0,0.0,0.0,11415.725910786543,468966.7968573171,1.0
 ,4431,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,611.0483100193378,0.0,33922.664122471804,0.0,345714.5860066643,439061.7207762702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315809.5099256174,0.0,0.0,0.0,11415.725910786543,468966.7968573171,1.0
 ,4432,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,611.0483100193378,0.0,34533.71243249114,0.0,332668.7525724506,425132.82288033544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288834.77859546896,0.0,0.0,0.0,11415.725910786543,468966.7968573171,1.0
 ,4433,60025.98667092892,128426.9164963486,11415.725910786543,10804.677600767205,0.0,0.0,0.0,91325.80728629234,611.0483100193378,0.0,35144.76074251048,0.0,306577.0857040231,413880.5826330593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251490.87147976528,0.0,0.0,0.0,11415.725910786543,468966.7968573171,1.0
