Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,6155,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,1.0089078325708086e6,0.0,0.0,0.0,393684.2600634408,0.0,0.0,6.308681589241091e6,11757.034529851162,615223.5725073678,1.0
 ,6156,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,988099.8114977205,0.0,0.0,0.0,0.0,355120.2276098597,0.0,6.663801816850951e6,11757.034529851162,632979.5838878608,1.0
 ,6157,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,981913.6430705863,0.0,0.0,0.0,366690.07056321844,0.0,0.0,6.663801816850951e6,11757.034529851162,615223.5725073678,1.0
 ,6158,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,1.0477119799773782e6,0.0,0.0,0.0,0.0,411893.7214000098,0.0,7.07569553825096e6,11757.034529851162,635818.2585773683,1.0
 ,6159,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,1.0685200010504662e6,0.0,0.0,0.0,453296.4285430984,0.0,0.0,7.07569553825096e6,11757.034529851162,615223.5725073678,1.0
 ,6160,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,1.0685200010504662e6,0.0,0.0,0.0,0.0,431710.88432676037,0.0,7.507406422577721e6,11757.034529851162,636809.1167237058,1.0
 ,6161,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,1.0685200010504662e6,0.0,0.0,0.0,0.0,431710.88432676037,0.0,7.939117306904482e6,11757.034529851162,636809.1167237058,1.0
 ,6162,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,1.0685200010504662e6,0.0,0.0,0.0,0.0,431710.88432676037,0.0,8.370828191231242e6,11757.034529851162,636809.1167237058,1.0
 ,6163,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,1.0685200010504662e6,0.0,0.0,0.0,453296.4285430984,0.0,0.0,8.370828191231242e6,11757.034529851162,615223.5725073678,1.0
 ,6164,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,1.0685200010504662e6,0.0,0.0,0.0,0.0,431710.88432676037,0.0,8.802539075558003e6,11757.034529851162,636809.1167237058,1.0
 ,6165,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,1.0685200010504662e6,0.0,0.0,0.0,308957.66981111595,137465.4845066499,0.0,8.940004560064653e6,11757.034529851162,622096.8467327002,1.0
 ,6166,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,1.0685200010504662e6,0.0,0.0,0.0,0.0,431710.88432676037,0.0,9.371715444391413e6,11757.034529851162,636809.1167237058,1.0
 ,6167,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,1.0685200010504662e6,0.0,0.0,0.0,0.0,431710.88432676037,0.0,9.803426328718172e6,11757.034529851162,636809.1167237058,1.0
 ,6168,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,1.0685200010504662e6,0.0,0.0,0.0,0.0,431710.88432676037,0.0,1.0235137213044932e7,11757.034529851162,636809.1167237058,1.0
 ,6169,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,1.0599718410420625e6,0.0,0.0,0.0,444748.2685346947,0.0,0.0,1.0235137213044932e7,11757.034529851162,615223.5725073678,1.0
 ,6170,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,1.0438878031315133e6,0.0,0.0,0.0,0.0,408251.64821347187,0.0,1.0643388861258404e7,11757.034529851162,635636.1549180414,1.0
 ,6171,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,1.0198179841604817e6,0.0,0.0,0.0,0.0,385328.0110982037,0.0,1.1028716872356609e7,11757.034529851162,634489.973062278,1.0
 ,6172,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,956831.5419932964,0.0,0.0,0.0,0.0,325340.9233199319,0.0,1.135405779567654e7,11757.034529851162,631490.6186733644,1.0
 ,6173,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,822760.400808859,0.0,0.0,0.0,0.0,197654.1221918964,0.0,1.1551711917868437e7,11757.034529851162,625106.2786169626,1.0
 ,6174,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,732217.39019353,0.0,0.0,0.0,0.0,111422.68351063065,0.0,1.1663134601379069e7,11757.034529851162,620794.7066828994,1.0
 ,6175,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,689926.4933098482,0.0,0.0,0.0,0.0,71145.63885950517,0.0,1.1734280240238573e7,11757.034529851162,618780.8544503431,1.0
