Informations,Time,NH3-SOEC,H2O wwtp,H2_from_AEC_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_tank,H2_from_tank,H2_stored_tank,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,20,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,48374.57057344414,0.0,880773.1320080291,0.0,0.0,0.0,0.0,65967.56688834578,0.0,490710.59821386787,16174.249724707211,814805.5651196833,1.0
 ,21,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,51423.079024558836,0.0,845675.9104289616,0.0,0.0,0.0,0.0,32541.64157494814,0.0,523252.239788816,16174.249724707211,813134.2688540134,1.0
 ,22,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146924,0.0,54471.58747567353,0.0,742334.0913350404,0.0,0.0,0.0,189942.51408626547,0.0,272753.2731857803,250498.96660303575,16174.249724707211,825144.8504345551,1.0
 ,23,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,57520.09592678822,0.0,628221.6963068021,0.0,0.0,0.0,0.0,0.0,192932.09522996208,57566.87137307366,16174.249724707211,821153.7915367641,1.0
 ,24,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,60568.60437790291,0.0,756818.6589708461,0.0,0.0,0.0,0.0,0.0,57566.87137307366,0.0,16174.249724707211,814385.5303439198,1.0
 ,25,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.508451114096,0.0,63617.11282901701,0.0,857003.5851185019,0.0,0.0,0.0,0.0,43329.90318403612,0.0,43329.90318403612,16174.249724707211,813673.6819344658,1.0
 ,26,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,66665.6212801317,0.0,857003.5851185019,0.0,0.0,0.0,0.0,43329.90318403413,0.0,86659.80636807025,16174.249724707211,813673.6819344677,1.0
 ,27,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,69714.12973124639,0.0,856353.6365707414,0.0,0.0,0.0,44846.449795475346,0.0,0.0,86659.80636807025,16174.249724707211,811507.1867752661,1.0
 ,28,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,72762.63818236107,0.0,866752.8133349095,0.0,0.0,0.0,0.0,52614.88243775564,0.0,139274.6888058259,16174.249724707211,814137.9308971538,1.0
 ,29,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,75811.14663347577,0.0,849297.052337913,0.0,0.0,0.0,37789.86556264688,0.0,0.0,139274.6888058259,16174.249724707211,811507.1867752661,1.0
 ,30,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,78859.65508459046,0.0,819306.5693483922,0.0,0.0,0.0,140110.3369386607,0.0,139274.6888058259,0.0,16174.249724707211,818470.9212155574,1.0
 ,31,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,81908.16353570514,0.0,839826.373499117,0.0,0.0,0.0,28319.1867238509,0.0,0.0,0.0,16174.249724707211,811507.1867752661,1.0
