Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,7598,67573.44874059898,6311.374311092388,561.011049874879,12163.220773307816,0.0,3184.2987190898125,0.0,4488.088398999032,0.0,11602.209723432898,276318.2439801129,0.0,55618.86223693072,0.0,3818.7064721144475,0.0,0.0,0.0,0.0,173532.08663807227,561.0110498748792,59437.56870904517,1.0
 ,7599,27029.37949623959,14183.591740243884,1260.763710243901,4865.288309323127,0.0,7156.094819344381,0.0,10086.109681951208,0.0,3604.5245990792255,272713.7193810337,0.0,72774.92919558597,0.0,4626.509764292504,0.0,0.0,0.0,0.0,173532.08663807227,1260.763710243901,77401.43895987848,1.0
 ,7600,27029.37949623959,19654.666748128286,1747.0814887225145,4865.288309323127,0.0,9916.43452998899,0.0,13976.651909780116,0.0,3118.206820600666,269595.512560433,0.0,96110.8697361224,0.0,6455.082671131922,0.0,0.0,0.0,0.0,173532.08663807227,1747.0814887225147,102565.95240725434,1.0
 ,7601,27029.37949623959,23898.777999792186,2124.33582220375,4865.288309323127,0.0,12057.730126828483,0.0,16994.68657763,0.0,2740.952487119357,266854.56007331365,0.0,114097.06896697065,0.0,7989.908926270228,0.0,0.0,0.0,0.0,173532.08663807227,2124.3358222037505,122086.9778932409,1.0
 ,7602,27029.37949623959,33884.430419038836,3011.94937058123,4865.288309323127,0.0,17095.82462741906,0.0,24095.59496464984,0.0,1853.3389387418965,265001.22113457177,0.0,156802.76252534366,0.0,11213.778428689926,0.0,0.0,0.0,0.0,173532.08663807227,3011.94937058123,168016.54095403358,1.0
 ,7603,29249.442776983247,59230.12162339107,5264.899699856984,5264.899699856985,0.0,29883.570696388237,0.0,42119.19759885587,0.0,0.0,265001.22113457177,0.0,266287.98553568654,0.0,19306.498683055546,0.0,0.0,0.0,0.0,173532.08663807227,5264.899699856984,285594.4842187421,1.0
 ,7604,47385.942820506,95956.53421152465,8529.46970769108,8529.469707691082,0.0,48413.270060854564,0.0,68235.75766152864,0.0,0.0,265001.22113457177,0.0,431668.78154035786,0.0,31012.30275334483,0.0,0.0,0.0,0.0,173532.08663807227,8529.46970769108,462681.0842937027,1.0
 ,7605,56356.26790499461,114121.44250761403,10144.128222899026,10144.12822289903,0.0,57578.071793174866,0.0,81153.0257831922,0.0,0.0,265001.22113457177,0.0,513667.40264919924,0.0,36600.83280195847,0.0,0.0,0.0,0.0,173532.08663807227,10144.128222899026,550268.2354511577,1.0
 ,7606,55853.10465650049,113102.53692941344,10053.558838170084,10053.558838170087,0.0,57063.99996545339,0.0,80428.47070536067,0.0,0.0,265001.22113457177,0.0,509055.5566925715,0.0,36299.74248396484,0.0,0.0,0.0,0.0,173532.08663807227,10053.558838170087,545355.2991765364,1.0
 ,7607,56356.26790499461,114121.44250761403,10144.128222899026,10144.12822289903,0.0,57578.071793174866,0.0,81153.0257831922,0.0,0.0,265001.22113457177,0.0,513667.40264919924,0.0,36600.83280195847,0.0,0.0,0.0,0.0,173532.08663807227,10144.128222899026,550268.2354511577,1.0
