Informations,Time,NH3-SOEC,H2O wwtp,H2_from_AEC_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,CSP_tower,Charge_TES,Discharge_TES,TES,CSP + TES,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43779.146820894384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275460.32327186875,0.0,0.0,1.0
 ,25,56703.885878318484,0.0,0.0,10206.699458097328,0.0,0.0,0.0,0.0,0.0,10206.699458097328,33572.44736279706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35216.097545482684,240244.22572638607,0.0,35216.09754548204,1.0
 ,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33572.44736279706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240244.22572638607,0.0,0.0,1.0
 ,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33572.44736279706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240244.22572638607,0.0,0.0,1.0
 ,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33572.44736279706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240244.22572638607,0.0,0.0,1.0
 ,29,56703.885878318484,0.0,0.0,10206.699458097328,0.0,0.0,0.0,0.0,0.0,10206.699458097328,23365.747904699732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35216.097545481985,205028.12818090408,0.0,35216.09754548201,1.0
 ,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23365.747904699732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205028.12818090408,0.0,0.0,1.0
 ,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23365.747904699732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205028.12818090408,0.0,0.0,1.0
 ,32,56703.885878318484,29501.212687760468,2622.3300166898193,10206.699458097328,0.0,11163.25888104856,0.0,20978.640133518555,0.0,7584.369441407509,15781.378463292232,0.0,156319.64873142808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205028.12818090408,2622.3300166898193,156319.64873142808,1.0
 ,33,56703.885878318484,130722.25244473177,11619.755772865046,10206.699458097328,0.0,49465.3003250865,0.0,92958.04618292037,1413.0563147677174,0.0,17194.43477805995,0.0,579205.4352996071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205028.12818090408,11619.755772865046,579205.4352996071,1.0
 ,34,56703.885878318484,205863.5671391827,18298.98374570513,10206.699458097328,0.0,77898.77380546673,0.0,146391.86996564103,8092.284287607799,0.0,25286.71906566775,0.0,898426.6127090498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205028.12818090408,18298.98374570513,898426.6127090498,1.0
 ,35,56703.885878318484,239560.96084236426,21294.30763043238,10206.699458097328,0.0,90649.86758275064,0.0,170354.46104345904,11087.60817233505,0.0,36374.3272380028,0.0,1.0415825015473049e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205028.12818090408,21294.30763043238,1.0415825015473048e6,1.0
 ,36,56703.885878318484,246532.83540164304,21914.02981347938,10206.699458097328,0.0,93288.02491598172,0.0,175312.23850783505,11707.330355382055,0.0,48081.657593384865,0.0,1.0777828412535305e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6268.457091987988,0.0,211296.58527289206,21914.02981347938,1.0715143841615424e6,1.0
 ,37,56703.885878318484,242659.57175759933,21569.73971178661,10206.699458097328,0.0,91822.38195307559,0.0,172557.91769429288,11363.040253689282,0.0,59444.697847074145,0.0,1.0547462614404778e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211296.58527289206,21569.73971178661,1.0547462614404778e6,1.0
 ,38,56703.885878318484,228715.82263904146,20330.295345692575,10206.699458097328,0.0,86546.06728661328,0.0,162642.3627655406,10123.595887595246,0.0,69568.2937346694,0.0,995509.3419211998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211296.58527289206,20330.295345692575,995509.3419211998,1.0
 ,39,56703.885878318484,202764.9562239476,18023.5516643509,10206.699458097328,0.0,76726.25943514178,0.0,144188.4133148072,7816.852206253568,0.0,77385.14594092296,0.0,885262.852815877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211296.58527289206,18023.5516643509,885262.852815877,1.0
 ,40,56703.885878318484,164806.97251231773,14649.508667761578,10206.699458097328,0.0,62362.95839866103,0.0,117196.06934209263,4442.8092096642495,0.0,81827.95515058721,0.0,724006.794124509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211296.58527289206,14649.508667761578,724006.794124509,1.0
 ,41,54705.776792035664,110779.19800387221,9847.03982256642,9847.03982256642,0.0,41918.84852466524,0.0,78776.31858053136,0.0,0.0,81827.95515058721,0.0,493640.99599398335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211296.58527289206,9847.03982256642,493640.99599398323,1.0
 ,42,56703.885878318484,59923.69519949531,5326.550684399584,10206.699458097328,0.0,22675.126263489026,0.0,42612.40547519667,0.0,4880.148773697742,76947.80637688946,0.0,283020.8377032171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211296.58527289206,5326.550684399584,283020.8377032171,1.0
