Informations,Time,NH3-SOEC,H2O wwtp,H2_from_AEC_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,3925,14065.647925341762,4027.432415123935,357.9939924554609,2531.8166265615173,0.0,1523.980425882897,0.0,2863.951939643687,0.0,2173.822634106056,214289.45987602853,0.0,0.0,0.0,25071.869553716406,0.0,0.0,0.0,0.0,110104.44341111823,357.99399245546095,25071.869553716406,1.0
 ,3926,14065.647925341762,3904.001779132342,347.02238036731933,2531.8166265615173,0.0,1477.2742732236782,0.0,2776.1790429385546,0.0,2184.7942461941975,212104.66562983434,0.0,0.0,0.0,24557.8152410992,0.0,0.0,0.0,0.0,110104.44341111823,347.02238036731944,24557.815241099204,1.0
 ,3927,14065.647925341762,2265.2845448000558,201.35862620444942,2531.8166265615173,0.0,857.1836717523411,0.0,1610.8690096355954,0.0,2330.4580003570677,209774.20762947729,0.0,0.0,0.0,17733.013159336984,0.0,0.0,0.0,0.0,110104.44341111823,201.35862620444945,17733.013159336984,1.0
 ,3928,26835.155476266118,0.0,0.0,4830.327985727901,0.0,0.0,0.0,0.0,0.0,4830.327985727901,204943.8796437494,0.0,0.0,0.0,15832.74173099701,0.0,0.0,0.0,0.0,110104.44341111823,0.0,15832.74173099701,1.0
 ,3929,14065.647925341762,28482.937048817064,2531.816626561517,2531.8166265615173,0.0,10777.943379272376,0.0,20254.533012492135,0.0,0.0,204943.8796437494,0.0,0.0,0.0,23070.62997874775,0.0,0.0,0.0,109317.49808270411,786.9453284141146,2531.816626561515,132388.12806145183,1.0
 ,3930,14065.647925341762,6249.644526910334,555.5239579475852,2531.8166265615173,0.0,2364.8654889828704,0.0,4444.191663580682,0.0,1976.2926686139317,202967.58697513543,0.0,0.0,0.0,34326.7657181646,0.0,0.0,0.0,0.0,786.9453284141146,555.5239579475854,34326.7657181646,1.0
 ,3931,14065.647925341762,12022.326681514756,1068.6512605790895,2531.8166265615173,0.0,4549.248416285183,0.0,8549.210084632716,0.0,1463.1653659824274,201504.421609153,0.0,0.0,0.0,58368.38336927129,0.0,0.0,0.0,0.0,786.9453284141146,1068.6512605790895,58368.38336927129,1.0
 ,3932,14065.647925341762,18846.85610727921,1675.2760984248189,2531.8166265615173,0.0,7131.650350994453,0.0,13402.208787398551,0.0,856.540528136698,200647.8810810163,0.0,0.0,0.0,86790.65272496198,0.0,0.0,0.0,0.0,786.9453284141146,1675.2760984248189,86790.65272496197,1.0
 ,3933,70328.2396267088,16220.717241385293,1441.8415325675817,12659.083132807586,0.0,6137.919404140195,0.0,11534.732260540653,0.0,11217.241600240002,189430.6394807763,0.0,0.0,0.0,109048.44293533867,0.0,0.0,0.0,0.0,786.9453284141146,1441.8415325675817,109048.44293533865,1.0
 ,3934,15709.24095701419,31811.212937953733,2827.6633722625543,2827.6633722625543,0.0,12037.362975721693,0.0,22621.306978100434,0.0,0.0,189430.6394807763,0.0,0.0,0.0,141753.31760317736,0.0,0.0,0.0,0.0,786.9453284141146,2827.6633722625543,141753.31760317736,1.0
 ,3935,24595.541891487064,49805.9723302613,4427.197540467671,4427.197540467671,0.0,18846.579929770876,0.0,35417.58032374137,0.0,0.0,189430.6394807763,0.0,0.0,0.0,221939.4094792017,0.0,0.0,0.0,0.0,786.9453284141146,4427.197540467671,221939.4094792017,1.0
 ,3936,27736.206203678372,56165.8175624487,4992.517116662107,4992.517116662107,0.0,21253.145365630586,0.0,39940.13693329685,0.0,0.0,189430.6394807763,0.0,0.0,0.0,250279.3901917795,0.0,0.0,0.0,0.0,786.9453284141146,4992.517116662107,250279.39019177947,1.0
 ,3937,30191.00571648302,61136.78657587811,5434.381028966944,5434.381028966944,0.0,23134.160040312276,0.0,43475.04823173555,0.0,0.0,189430.6394807763,0.0,0.0,0.0,272430.4270205418,0.0,0.0,0.0,0.0,786.9453284141146,5434.381028966944,272430.4270205418,1.0
 ,3938,31235.561349284355,63252.011732300816,5622.401042871184,5622.4010428711845,0.0,23934.561239502626,0.0,44979.20834296947,0.0,0.0,189430.6394807763,0.0,0.0,0.0,281856.0400578517,0.0,0.0,0.0,0.0,786.9453284141146,5622.401042871184,281856.04005785164,1.0
 ,3939,31681.223648020627,64154.47788724176,5702.620256643712,5702.620256643713,0.0,24276.05443253228,0.0,45620.9620531497,0.0,0.0,189430.6394807763,0.0,0.0,0.0,285877.5016643921,0.0,0.0,0.0,0.0,786.9453284141146,5702.620256643712,285877.50166439207,1.0
 ,3940,33226.73722061184,67284.14287173896,5980.812699710131,5980.812699710131,0.0,25460.319662666025,0.0,47846.50159768105,0.0,0.0,189430.6394807763,0.0,0.0,0.0,299823.5399812672,0.0,0.0,0.0,0.0,786.9453284141146,5980.812699710131,299823.5399812672,1.0
 ,3941,34703.06677729398,70273.71022402031,6246.552019912917,6246.552019912916,0.0,26591.571948769284,0.0,49972.416159303335,0.0,0.0,189430.6394807763,0.0,0.0,0.0,313145.2920065858,0.0,0.0,0.0,0.0,786.9453284141146,6246.552019912917,313145.2920065858,1.0
 ,3942,33028.362877948246,66882.43482784521,5945.105318030685,5945.105318030684,0.0,25308.313338856624,0.0,47560.84254424548,0.0,0.0,189430.6394807763,0.0,0.0,0.0,298033.4967018459,0.0,0.0,0.0,0.0,786.9453284141146,5945.105318030685,298033.4967018459,1.0
