Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,CSP_tower,Charge_TES,Discharge_TES,TES,CSP + TES,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43500.20601878066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199555.2095967842,0.0,0.0,1.0
 ,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43500.20601878066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199555.2095967842,0.0,0.0,1.0
 ,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43500.20601878066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199555.2095967842,0.0,0.0,1.0
 ,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43500.20601878066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199555.2095967842,0.0,0.0,1.0
 ,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43500.20601878066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199555.2095967842,0.0,0.0,1.0
 ,31,56848.51696026441,0.0,0.0,10232.733052847594,0.0,0.0,0.0,0.0,0.0,10232.733052847594,33267.47296593306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26928.244875914723,172626.9647208695,0.0,26928.244875914723,1.0
 ,32,56848.51696026441,31027.327695884658,2757.9846840786363,10232.733052847594,0.0,15654.321066830338,0.0,22063.87747262909,0.0,7474.748368768958,25792.724597164084,163007.03821847477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172626.9647208695,2757.9846840786363,163007.03821847477,1.0
 ,33,56848.51696026441,130302.9259657045,11582.482308062623,10232.733052847594,0.0,65742.16958056344,0.0,92659.85846450098,1349.7492552150275,0.0,27142.473852379113,603983.9731884539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172626.9647208695,11582.482308062623,603983.9731884539,1.0
 ,34,56848.51696026441,204067.16721204628,18139.30375218189,10232.733052847594,0.0,102958.68809738441,0.0,145114.43001745513,7906.570699334294,0.0,35049.04455171341,936861.5038661815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172626.9647208695,18139.30375218189,936861.5038661815,1.0
 ,35,56848.51696026441,237147.00735860155,21079.73398743125,10232.733052847594,0.0,119648.57011265976,0.0,168637.87189945,10847.000934583657,0.0,45896.045486297066,1.0861416336031004e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172626.9647208695,21079.73398743125,1.0861416336031002e6,1.0
