Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,6287,61266.82981796551,63239.89339954672,5621.323857737487,11028.029367233792,0.0,31906.63421651797,0.0,44970.590861899895,0.0,5406.705509496305,94782.51731148978,176053.73770722593,131616.36355968428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5621.323857737488,307670.1012669102,1.0
 ,6288,35534.14174262214,71956.63702880983,6396.145513671985,6396.145513671985,0.0,36304.521935602184,0.0,51169.16410937588,0.0,0.0,94782.51731148978,221650.38919974485,113047.912757872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6396.145513671986,334698.3019576169,1.0
 ,6289,61266.82981796551,71523.76497122695,6357.667997442395,11028.029367233792,0.0,36086.12355348303,0.0,50861.34397953916,0.0,4670.361369791397,90112.15594169837,172254.016749516,172106.7323536278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6357.667997442395,344360.7491031438,1.0
 ,6290,61266.82981796551,96105.31564398063,8542.69472390939,11028.029367233792,0.0,48488.33525290969,0.0,68341.55779127512,0.0,2485.3346433244024,87626.82129837396,224183.53650488477,229052.9974529972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8542.694723909388,453236.53395788197,1.0
 ,6291,51804.50621792608,104904.12509130032,9324.811119226695,9324.811119226695,0.0,52927.62791273071,0.0,74598.48895381356,0.0,0.0,87626.82129837396,243182.14129343437,244767.74055484994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9324.811119226693,487949.8818482843,1.0
 ,6292,61266.82981796551,137657.42994729336,12236.215995314966,11028.029367233792,0.0,69452.76198940774,0.0,97889.72796251973,1208.186628081174,0.0,88835.00792645515,334375.4442784723,304038.0247115621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12236.215995314968,638413.4689900343,1.0
 ,6293,61266.82981796551,183554.47324421356,16315.95317726343,11028.029367233792,0.0,92609.3502341472,0.0,130527.62541810743,5287.923810029638,0.0,94122.93173648478,469898.82510345906,375635.25110688264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16315.95317726343,845534.0762103416,1.0
 ,6294,61266.82981796551,187121.60508221007,16633.031562863118,11028.029367233792,0.0,94409.08715081104,0.0,133064.25250290494,5605.00219562932,0.0,99727.9339321141,525628.0658165377,387004.91607630055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4923.707364317845,43883.54590786246,0.0,43883.54590786246,16633.031562863118,863825.7286206578,1.0
 ,6295,61266.82981796551,187121.60508221007,16633.031562863118,11028.029367233792,0.0,94409.08715081104,0.0,133064.25250290494,5605.002195629277,0.0,105332.93612774338,474965.11971373897,422127.4322448022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33772.38155550135,0.0,77655.92746336381,16633.031562863118,863320.1704030398,1.0
 ,6296,61266.82981796551,170456.26102625215,15151.667646777969,11028.029367233792,0.0,86000.86556311174,0.0,121213.34117422375,4123.638279544176,0.0,109456.57440728755,362240.06463501154,424185.41822795273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77655.92746336381,15151.667646777963,786425.4828629642,1.0
