Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_tank,H2_from_tank,H2_stored_tank,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,4372,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,78387.57892192023,0.0,912604.9233567958,0.0,0.0,0.0,0.0,54574.52328527878,0.0,314727.72614543024,16286.375457138964,858030.4000715171,1.0
 ,4373,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,81453.76211107358,0.0,912604.9233567958,0.0,0.0,0.0,57303.24944954261,0.0,0.0,314727.72614543024,16286.375457138964,855301.6739072532,1.0
 ,4374,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,84519.94530022693,0.0,904247.3835323704,0.0,0.0,0.0,0.0,46614.96154773082,0.0,361342.6876931611,16286.375457138964,857632.4219846397,1.0
 ,4375,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,87586.12848938028,0.0,881480.2922865219,0.0,0.0,0.0,0.0,24932.01750406552,0.0,386274.7051972266,16286.375457138964,856548.2747824565,1.0
 ,4376,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,90652.31167853363,0.0,866302.2314559564,0.0,0.0,0.0,11000.55754870316,0.0,0.0,386274.7051972266,16286.375457138964,855301.6739072532,1.0
 ,4377,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,93718.49486768698,0.0,864284.8942569571,0.0,0.0,0.0,0.0,8555.447952098966,0.0,394830.15314932563,16286.375457138964,855729.4463048581,1.0
 ,4378,73445.51259992008,183221.72389281334,16286.375457138964,13220.192267985616,0.0,92441.46709472075,0.0,130291.00365711171,3066.1831891533493,0.0,96784.67805684033,0.0,859673.8378021016,0.0,0.0,0.0,0.0,4163.965614141475,0.0,398994.1187634671,16286.375457138964,855509.8721879602,1.0
 ,4379,73445.51259992008,150361.6275994151,13365.478008836899,13220.192267985616,0.0,75862.45317815823,0.0,106923.82407069519,145.285740851283,0.0,96929.96379769161,0.0,699535.6896720197,0.0,0.0,0.0,0.0,0.0,0.0,398994.1187634671,13365.4780088369,699535.6896720197,1.0
 ,4380,73445.51259992008,142061.14829545992,12627.657626263104,13220.192267985616,0.0,71674.58468666938,0.0,101021.26101010483,0.0,592.5346417225119,96337.4291559691,0.0,662262.9833286053,0.0,0.0,0.0,0.0,0.0,0.0,398994.1187634671,12627.657626263106,662262.9833286053,1.0
 ,4381,73445.51259992008,148861.98720536605,13232.176640476982,13220.192267985616,0.0,75105.83461134734,0.0,105857.41312381586,11.984372491365988,0.0,96349.41352846047,0.0,692426.9776374509,0.0,0.0,0.0,0.0,0.0,0.0,398994.1187634671,13232.176640476984,692426.977637451,1.0
