Informations,Time,NH3-SOEC,H2O wwtp,H2_from_AEC_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,3765,65287.997290297426,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,400315.64003344404,0.0,0.0,0.0,0.0,0.0,198752.29896356323,4.697244445164747e6,11751.839512253531,599067.9389970073,1.0
 ,3766,65287.99729029742,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,715303.9636383097,0.0,0.0,0.0,0.0,120165.37103760037,0.0,4.817409816202347e6,11751.839512253533,595138.5926007093,1.0
 ,3767,65287.99729029742,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,841946.5293616358,0.0,0.0,0.0,0.0,240777.33839314914,0.0,5.058187154595496e6,11751.83951225353,601169.1909684865,1.0
 ,3768,65287.99729029742,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,947014.5523723,0.0,0.0,0.0,0.0,340842.122212829,0.0,5.399029276808325e6,11751.839512253537,606172.4301594709,1.0
 ,3769,65287.997290297426,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,994370.6736265931,0.0,0.0,0.0,0.0,385943.1900740605,0.0,5.784972466882386e6,11751.839512253537,608427.4835525324,1.0
 ,3770,65287.99729029743,132208.1945128523,11751.839512253538,11751.839512253538,0.0,50027.58080366331,0.0,94014.71609802831,0.0,1.0247907788514466e6,0.0,0.0,0.0,0.0,414914.7188596352,0.0,6.199887185742023e6,11751.839512253538,609876.0599918113,1.0
 ,3771,65287.99729029742,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,1.0247907788514466e6,0.0,0.0,0.0,0.0,414914.7188596353,0.0,6.614801904601659e6,11751.839512253537,609876.0599918112,1.0
 ,3772,65287.99729029742,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,1.0247907788514466e6,0.0,0.0,0.0,0.0,414914.7188596355,0.0,7.029716623461294e6,11751.839512253531,609876.0599918109,1.0
 ,3773,65287.99729029742,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,1.0247907788514466e6,0.0,0.0,0.0,0.0,414914.7188596353,0.0,7.444631342320929e6,11751.839512253537,609876.0599918112,1.0
 ,3774,65287.99729029742,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,1.0247907788514466e6,0.0,0.0,0.0,0.0,414914.7188596355,0.0,7.859546061180565e6,11751.839512253531,609876.0599918109,1.0
 ,3775,65287.99729029742,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,1.0247907788514466e6,0.0,0.0,0.0,0.0,414914.718859636,0.0,8.274460780040201e6,11751.839512253522,609876.0599918105,1.0
 ,3776,65287.99729029742,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,1.0247907788514466e6,0.0,0.0,0.0,0.0,414914.7188596355,0.0,8.689375498899836e6,11751.839512253531,609876.0599918109,1.0
 ,3777,65287.99729029742,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,1.0247907788514466e6,0.0,0.0,0.0,0.0,414914.7188596355,0.0,9.104290217759471e6,11751.839512253531,609876.0599918109,1.0
 ,3778,65287.997290297426,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,1.0247907788514466e6,0.0,0.0,0.0,0.0,414914.7188596354,0.0,9.519204936619107e6,11751.839512253537,609876.0599918112,1.0
 ,3779,65287.997290297426,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,1.0247907788514466e6,0.0,0.0,0.0,0.0,414914.7188596354,0.0,9.934119655478742e6,11751.839512253537,609876.0599918112,1.0
 ,3780,65287.99729029742,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,962008.8595576001,0.0,0.0,0.0,0.0,355122.41477025783,0.0,1.0289242070249e7,11751.839512253533,606886.4447873422,1.0
 ,3781,65287.997290297426,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,880349.2153901743,0.0,0.0,0.0,0.0,277351.32508699514,0.0,1.0566593395335997e7,11751.839512253537,602997.8903031792,1.0
 ,3782,65287.997290297426,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,752627.922531215,0.0,0.0,0.0,0.0,155711.99855465296,0.0,1.072230539389065e7,11751.839512253537,596915.923976562,1.0
 ,3783,65287.99729029742,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,655650.3530377992,0.0,0.0,0.0,0.0,63352.40856092362,0.0,1.0785657802451573e7,11751.839512253537,592297.9444768756,1.0
 ,3784,65287.99729029743,132208.1945128523,11751.839512253538,11751.839512253538,0.0,50027.58080366331,0.0,94014.71609802831,0.0,479062.72093466046,0.0,0.0,0.0,0.0,0.0,115860.63485702313,1.066979716759455e7,11751.839512253538,594923.3557916806,1.0
 ,3785,33412.99341689626,67661.31166921492,6014.338815041327,6014.338815041327,0.0,25603.040335630925,0.0,48114.71052033061,0.0,301504.23440945195,0.0,0.0,0.0,0.0,0.0,0.0,1.066979716759455e7,6014.338815041328,301504.234409452,1.0
 ,3786,65287.997290297426,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,188453.63059510285,0.0,0.0,0.0,0.0,0.0,421764.94047759846,1.0248032227116952e7,11751.839512253537,610218.5710727093,1.0
 ,3787,19952.159575241447,40403.12313986393,3591.3887235434604,3591.3887235434604,0.0,15288.54179612451,0.0,28731.109788347683,0.0,180039.55893716466,0.0,0.0,0.0,0.0,0.0,0.0,1.0248032227116952e7,3591.388723543461,180039.55893716466,1.0
 ,3788,14799.744490203064,29969.482592661203,2663.9540082365515,2663.9540082365515,0.0,11340.452213063,0.0,21311.632065892412,0.0,133546.41939137797,0.0,0.0,0.0,0.0,0.0,0.0,1.0248032227116952e7,2663.9540082365515,133546.41939137797,1.0
 ,3789,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,83169.86215731215,0.0,0.0,0.0,0.0,0.0,36480.21331837237,1.021155201379858e7,2350.367902450708,119650.07547568451,1.0
 ,3790,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,83493.48029800206,0.0,0.0,0.0,0.0,0.0,36139.56264396192,1.0175412451154618e7,2350.3679024507073,119633.04294196398,1.0
 ,3791,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,85650.93456926827,0.0,0.0,0.0,0.0,0.0,33868.558147892356,1.0141543893006725e7,2350.3679024507073,119519.49271716051,1.0
 ,3792,65287.997290297426,132208.1945128523,11751.839512253537,11751.839512253537,0.0,50027.5808036633,0.0,94014.7160980283,0.0,95359.47878996619,0.0,0.0,0.0,0.0,0.0,519758.7844830137,9.621785108523712e6,11751.839512253537,615118.2632729801,1.0
 ,3793,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,84464.33472007186,0.0,0.0,0.0,0.0,0.0,35117.61062073056,9.58666749790298e6,2350.3679024507073,119581.94534080241,1.0
 ,3794,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,68607.04582626527,0.0,0.0,0.0,0.0,0.0,51809.49366684276,9.534858004236137e6,2350.3679024507073,120416.53949310802,1.0
 ,3795,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,28586.269094277195,0.0,0.0,0.0,0.0,0.0,93936.62706893547,9.440921377167203e6,2350.3679024507073,122522.89616321266,1.0
 ,3796,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,28154.778240023956,0.0,0.0,0.0,0.0,0.0,94390.8279681494,9.346530549199054e6,2350.3679024507073,122545.60620817335,1.0
 ,3797,13057.599458059485,26441.638902570456,2350.3679024507073,2350.3679024507073,0.0,10005.51616073266,0.0,18802.94321960566,0.0,18338.36130576273,0.0,0.0,0.0,0.0,0.0,104723.89842526648,9.241806650773788e6,2350.3679024507073,123062.2597310292,1.0
 ,3798,15433.336136391077,31252.50567619193,2778.000504550394,2778.000504550394,0.0,11825.948147871026,0.0,22224.004036403152,0.0,139263.67321023342,0.0,0.0,0.0,0.0,0.0,0.0,9.241806650773788e6,2778.0005045503945,139263.67321023342,1.0
 ,3799,27626.986685669857,55944.64803848146,4972.857603420574,4972.857603420574,0.0,21169.454817761383,0.0,39782.860827364595,0.0,249293.8410448098,0.0,0.0,0.0,0.0,0.0,0.0,9.241806650773788e6,4972.857603420574,249293.8410448098,1.0
 ,3800,29503.85250550982,59745.30132365739,5310.693450991768,5310.693450991768,0.0,22607.622020871957,0.0,42485.547607934146,0.0,266229.8570742495,0.0,0.0,0.0,0.0,0.0,0.0,9.241806650773788e6,5310.693450991769,266229.8570742495,1.0
 ,3801,30340.671660852488,61439.860113226285,5461.320898953448,5461.320898953448,0.0,23248.843066844827,0.0,43690.56719162758,0.0,273780.94702368125,0.0,0.0,0.0,0.0,0.0,0.0,9.241806650773788e6,5461.32089895345,273780.9470236813,1.0
