Informations,Time,NH3-SOEC,H2O wwtp,H2_from_AEC_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,6772,12288.444576146198,1658.8494771525618,147.4532868580055,2211.9200237063155,0.0,627.7086421545293,0.0,1179.626294864044,0.0,2064.4667368483097,34826.31213392864,0.0,0.0,0.0,0.0,14158.829580745245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49959.40907232648,147.45328685800553,14158.829580745245,1.0
 ,6773,12288.444576146198,0.0,0.0,2211.9200237063155,0.0,0.0,0.0,0.0,0.0,2211.9200237063155,32614.392110222325,0.0,0.0,0.0,0.0,4649.63547958518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2737.4177056221847,47221.9913667043,0.0,7387.0531852073655,1.0
 ,6774,12288.444576146198,1054.9024744748865,93.76910884221213,2211.9200237063155,0.0,399.17509634129703,0.0,750.1528707376971,0.0,2118.150914864103,30496.241195358223,0.0,0.0,0.0,0.0,11643.558077649026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47221.9913667043,93.76910884221213,11643.558077649026,1.0
 ,6775,12288.444576146198,3330.0239560266978,296.00212942459535,2211.9200237063155,0.0,1260.0810649605023,0.0,2368.017035396763,0.0,1915.9178942817202,28580.323301076503,0.0,0.0,0.0,0.0,21118.807070123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47221.9913667043,296.00212942459535,21118.807070123,1.0
 ,6776,12288.444576146198,10237.097906450153,909.9642583511247,2211.9200237063155,0.0,3873.7178478007377,0.0,7279.714066808998,0.0,1301.9557653551892,27278.367535721314,0.0,36876.800829171196,0.0,0.0,13008.050612812596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47221.9913667043,909.9642583511246,49884.85144198379,1.0
 ,6777,61442.22288073098,40708.175219082055,3618.5044639184052,11059.600118531576,0.0,15403.97350290065,0.0,28948.035711347242,0.0,7441.095654613171,19837.271881108143,0.0,202822.4045604416,0.0,0.0,2966.748900216701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47221.9913667043,3618.5044639184057,205789.1534606583,1.0
 ,6778,38260.69266748978,77477.9026516668,6886.92468014816,6886.92468014816,0.0,29317.638363390717,0.0,55095.39744118528,0.0,0.0,19837.271881108143,0.0,345061.4934729591,0.0,0.0,186.25810542665147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47221.9913667043,6886.924680148161,345247.75157838577,1.0
 ,6779,50784.26340002624,102838.13338505312,9141.167412004723,9141.167412004723,0.0,38913.9496729041,0.0,73129.33929603778,0.0,0.0,19837.271881108143,0.0,418815.0951313015,0.0,0.0,39439.87967529772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47221.9913667043,9141.167412004723,458254.9748065992,1.0
 ,6780,51167.582549108236,103614.35466194416,9210.164858839482,9210.164858839482,0.0,39207.67180407967,0.0,73681.31887071586,0.0,0.0,19837.271881108143,0.0,454374.8673594308,0.0,0.0,7339.011746356657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47221.9913667043,9210.164858839484,461713.8791057875,1.0
 ,6781,51448.924065993284,104184.07123363641,9260.806331878792,9260.806331878792,0.0,39423.252554808016,0.0,74086.45065503033,0.0,0.0,19837.271881108143,0.0,464252.5818672445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47221.9913667043,9260.806331878792,464252.5818672445,1.0
 ,6782,52105.71884130383,105514.08065364025,9379.02939143469,9379.02939143469,0.0,39926.52811933747,0.0,75032.23513147752,0.0,0.0,19837.271881108143,0.0,470179.2105719328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47221.9913667043,9379.029391434693,470179.2105719328,1.0
 ,6783,59084.132526396774,119645.36836595346,10635.143854751419,10635.143854751419,0.0,45273.80738967679,0.0,85081.15083801135,0.0,0.0,19837.271881108143,0.0,470179.2105719328,0.0,0.0,62970.15203829145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47221.9913667043,10635.143854751423,533149.3626102243,1.0
 ,6784,61442.22288073098,132715.18145635666,11796.905018342813,11059.600118531576,0.0,50219.42466308535,0.0,94375.24014674251,737.3048998112372,0.0,20574.57678091938,0.0,439229.03844744986,0.0,0.0,159253.43110141315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8396.786672253318,0.0,55618.77803895762,11796.905018342817,590085.6828766097,1.0
 ,6785,56917.73680294547,115258.41702596456,10245.192624530184,10245.192624530184,0.0,43613.78500262499,0.0,81961.54099624147,0.0,0.0,20574.57678091938,0.0,383913.837203693,0.0,0.0,129686.9181962356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55618.77803895762,10245.192624530186,513600.7553999286,1.0
 ,6786,39760.69061954559,80515.39850457982,7156.924311518206,7156.924311518206,0.0,30467.026794133002,0.0,57255.39449214565,0.0,0.0,20574.57678091938,0.0,273941.9490167003,0.0,0.0,84841.12783193304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55618.77803895762,7156.924311518206,358783.0768486333,1.0
 ,6787,14512.218256886923,29387.24197019602,2612.1992862396464,2612.1992862396464,0.0,11120.132361522174,0.0,20897.59428991717,0.0,0.0,20574.57678091938,0.0,59924.8013474032,0.0,0.0,71027.10710725699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55618.77803895762,2612.199286239646,130951.90845466018,1.0
 ,6788,12288.444576146198,17716.231141862667,1574.776101498904,2211.9200237063155,0.0,6703.821864080834,0.0,12598.208811991231,0.0,637.1439222074114,19937.432858711967,0.0,0.0,0.0,0.0,81033.36383046709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55618.77803895762,1574.7761014989042,81033.36383046709,1.0
 ,6789,12288.444576146198,22355.94737911697,1987.195322588175,2211.9200237063155,0.0,8459.490488257861,0.0,15897.5625807054,0.0,224.7247011181405,19712.70815759383,0.0,0.0,0.0,0.0,100356.49314856537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55618.77803895762,1987.1953225881757,100356.49314856538,1.0
 ,6790,13640.09713365177,27621.196695644838,2455.217484057319,2455.217484057319,0.0,10451.860829632005,0.0,19641.73987245855,0.0,0.0,19712.70815759383,0.0,0.0,0.0,0.0,123082.26899157761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55618.77803895762,2455.2174840573193,123082.26899157761,1.0
 ,6791,15835.877793491616,32067.65253182052,2850.458002828491,2850.458002828491,0.0,12134.399718040884,0.0,22803.664022627927,0.0,0.0,19712.70815759383,0.0,0.0,0.0,0.0,142896.03301193367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55618.77803895762,2850.458002828491,142896.03301193367,1.0
