Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_tank,H2_from_tank,H2_stored_tank,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,2329,71565.54909433832,140173.6958442296,12459.884075042632,12881.798836980897,0.0,0.0,0.0,99679.07260034105,0.0,421.91476193826566,179656.41666765907,0.0,514803.71464938595,0.0,0.0,0.0,0.0,0.0,0.0,516270.3524412204,12459.884075042632,514803.7146493859,1.0
 ,2330,71565.54909433832,114293.89268160322,10159.45712725362,12881.798836980897,0.0,0.0,0.0,81275.65701802896,0.0,2722.3417097272777,176934.0749579318,0.0,427552.8338202758,0.0,0.0,0.0,0.0,0.0,0.0,516270.3524412204,10159.45712725362,427552.8338202758,1.0
 ,2331,71565.54909433832,144920.2369160351,12881.798836980897,12881.798836980897,0.0,0.0,0.0,103054.39069584718,0.0,0.0,176934.0749579318,0.0,414618.0671205425,0.0,0.0,0.0,0.0,0.0,122303.24564103485,393967.1068001856,12881.798836980897,536921.3127615774,1.0
 ,2332,66152.71434073582,133959.24653999004,11907.488581332447,11907.488581332449,0.0,0.0,0.0,95259.90865065958,0.0,0.0,176934.0749579318,0.0,490658.8168098838,0.0,0.0,0.0,0.0,0.0,0.0,393967.1068001856,11907.488581332445,490658.81680988375,1.0
 ,2333,71565.54909433832,135689.70316332372,12061.306947850999,12881.798836980897,0.0,0.0,0.0,96490.45558280799,0.0,820.4918891298998,176113.5830688019,0.0,398390.8143517861,0.0,0.0,0.0,0.0,0.0,106626.9654687733,287340.14133141225,12061.306947850999,505017.7798205594,1.0
 ,2334,71565.54909433832,144920.2369160351,12881.798836980897,12881.798836980897,0.0,0.0,0.0,103054.39069584718,0.0,0.0,176113.5830688019,0.0,257833.01621468412,0.0,0.0,0.0,0.0,0.0,287340.14133141225,0.0,12881.798836980897,545173.1575460962,1.0
 ,2335,71565.54909433832,165587.93048753598,14718.927154447643,12881.798836980897,0.0,0.0,0.0,117751.41723558115,1837.1283174667503,0.0,177950.71138626884,0.0,606914.9320565778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14718.927154447647,606914.9320565779,1.0
 ,2336,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,181018.02350856553,0.0,744728.9918028272,0.0,0.0,0.0,0.0,82714.14410169408,0.0,82714.14410169408,15949.110959277594,662014.8477011332,1.0
 ,2337,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,184085.33563086222,0.0,744728.9918028272,0.0,0.0,0.0,0.0,82714.14410169411,0.0,165428.2882033882,15949.110959277592,662014.8477011331,1.0
 ,2338,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,187152.6477531589,0.0,739398.3000720282,0.0,0.0,0.0,0.0,77637.29483426645,0.0,243065.58303765464,15949.110959277592,661761.0052377618,1.0
 ,2339,71565.54909433832,156029.68366381156,13869.305214561027,12881.798836980897,0.0,0.0,0.0,110954.44171648822,987.5063775801325,0.0,188140.15413073904,0.0,571716.6881282126,0.0,0.0,0.0,0.0,0.0,0.0,243065.58303765464,13869.30521456103,571716.6881282126,1.0
 ,2340,71565.54909433832,149856.205759847,13320.551623097512,12881.798836980897,0.0,0.0,0.0,106564.4129847801,438.75278611661753,0.0,188578.9069168557,0.0,548982.8557468632,0.0,0.0,0.0,0.0,0.0,0.0,243065.58303765464,13320.551623097515,548982.8557468632,1.0
 ,2341,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,191646.21903915238,0.0,682171.7564913898,0.0,0.0,0.0,0.0,23135.82475746853,0.0,266201.4077951232,15949.11095927758,659035.9317339214,1.0
 ,2342,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,194713.53116144906,0.0,720035.3462851546,0.0,0.0,0.0,0.0,59196.3864658154,0.0,325397.7942609386,15949.110959277592,660838.9598193392,1.0
 ,2343,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,197780.84328374575,0.0,720270.5238615134,0.0,0.0,0.0,0.0,59420.365109966646,0.0,384818.15937090525,15949.110959277592,660850.1587515468,1.0
 ,2344,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,200848.15540604244,0.0,714155.906876185,0.0,0.0,0.0,0.0,53596.92036203483,0.0,438415.07973294007,15949.110959277592,660558.9865141502,1.0
 ,2345,71565.54909433832,179427.4982918729,15949.110959277592,12881.798836980897,0.0,0.0,0.0,127592.88767422074,3067.3121222966947,0.0,203915.46752833913,0.0,695733.6633947465,0.0,0.0,0.0,0.0,36051.92657018865,0.0,474467.0063031287,15949.110959277592,659681.7368245579,1.0
 ,2346,71565.54909433832,179297.30900530552,15937.538578249381,12881.798836980897,0.0,0.0,0.0,127500.30862599505,3055.739741268487,0.0,206971.2072696076,0.0,657399.7184482642,0.0,0.0,0.0,0.0,0.0,0.0,474467.0063031287,15937.538578249383,657399.7184482642,1.0
 ,2347,71565.54909433832,148940.82800167293,13239.184711259817,12881.798836980897,0.0,0.0,0.0,105913.47769007854,357.38587427892054,0.0,207328.59314388654,0.0,545611.9771523871,0.0,0.0,0.0,0.0,0.0,0.0,474467.0063031287,13239.18471125982,545611.9771523871,1.0
 ,2348,71565.54909433832,110410.75959251191,9814.289741556615,12881.798836980897,0.0,0.0,0.0,78514.31793245292,0.0,3067.5090954242823,204261.08404846225,0.0,414461.28206963657,0.0,0.0,0.0,0.0,0.0,0.0,474467.0063031287,9814.289741556613,414461.2820696365,1.0
 ,2349,71565.54909433832,86623.6628850844,7699.881145340836,12881.798836980897,0.0,0.0,0.0,61599.04916272669,0.0,5181.917691640059,199079.16635682218,0.0,334265.7285312901,0.0,0.0,0.0,0.0,0.0,0.0,474467.0063031287,7699.881145340839,334265.7285312901,1.0
 ,2350,36675.17475033603,74267.22886943046,6601.531455060485,6601.531455060486,0.0,0.0,0.0,52812.25164048388,0.0,0.0,199079.16635682218,0.0,272022.0633216643,0.0,0.0,0.0,0.0,0.0,0.0,474467.0063031287,6601.531455060487,272022.0633216643,1.0
 ,2351,33324.73371406615,67482.58577098395,5998.452068531907,5998.452068531907,0.0,0.0,0.0,47987.61654825525,0.0,0.0,199079.16635682218,0.0,247171.63275308575,0.0,0.0,0.0,0.0,0.0,0.0,474467.0063031287,5998.452068531907,247171.63275308575,1.0
 ,2352,32753.99612429146,66326.84215169022,5895.719302372464,5895.719302372463,0.0,0.0,0.0,47165.75441897971,0.0,0.0,199079.16635682218,0.0,242938.43637862755,0.0,0.0,0.0,0.0,0.0,0.0,474467.0063031287,5895.719302372464,242938.43637862755,1.0
 ,2353,71565.54909433832,46071.66224211906,4095.2588659661387,12881.798836980897,0.0,0.0,0.0,32762.07092772911,0.0,8786.539971014758,190292.62638580744,0.0,197549.16414138157,0.0,0.0,0.0,0.0,0.0,0.0,474467.0063031287,4095.258865966139,197549.16414138157,1.0
 ,2354,17861.97271702245,36170.49475197046,3215.155089064041,3215.155089064041,0.0,0.0,0.0,25721.240712512328,0.0,0.0,190292.62638580744,0.0,132483.36801545034,0.0,0.0,0.0,0.0,0.0,0.0,474467.0063031287,3215.1550890640415,132483.36801545034,1.0
 ,2355,71565.54909433832,7240.331351206123,643.5850089960999,12881.798836980897,0.0,0.0,0.0,5148.680071968799,0.0,12238.213827984797,178054.41255782265,0.0,66633.64663498981,0.0,0.0,0.0,0.0,0.0,0.0,474467.0063031287,643.5850089961001,66633.64663498981,1.0
 ,2356,14313.109818867664,0.0,0.0,2576.3597673961794,0.0,0.0,0.0,0.0,0.0,2576.3597673961794,175478.05279042647,0.0,4860.336578081609,0.0,0.0,0.0,0.0,0.0,3773.0507526845395,470693.9555504442,0.0,8633.387330766149,1.0
 ,2357,44686.360871782956,90489.8807653605,8043.544956920934,8043.544956920932,0.0,0.0,0.0,64348.35965536747,0.0,0.0,175478.05279042647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348885.8226142829,121808.1329361613,8043.544956920933,348885.82261428284,1.0
 ,2358,71565.54909433832,0.0,0.0,12881.798836980897,0.0,0.0,0.0,0.0,0.0,12881.798836980897,162596.2539534456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44445.972595431165,77362.16034073013,0.0,44445.972595431165,1.0
 ,2359,14313.109818867664,0.0,0.0,2576.3597673961794,0.0,0.0,0.0,0.0,0.0,2576.3597673961794,160019.8941860494,0.0,862.3177799822212,0.0,0.0,0.0,0.0,0.0,7981.491592789159,69380.66874794097,0.0,8843.80937277138,1.0
 ,2360,14313.109818867664,2680.4378494139105,238.2611421701254,2576.3597673961794,0.0,0.0,0.0,1906.0891373610032,0.0,2338.0986252260545,157681.79556082335,0.0,17481.53317600321,0.0,0.0,0.0,0.0,0.0,0.0,69380.66874794097,238.2611421701254,17481.53317600321,1.0
 ,2361,14313.109818867664,12725.428834368635,1131.1492297216564,2576.3597673961794,0.0,0.0,0.0,9049.193837773251,0.0,1445.2105376745235,156236.58502314883,0.0,51347.10417166862,0.0,0.0,0.0,0.0,0.0,0.0,69380.66874794097,1131.1492297216564,51347.10417166862,1.0
 ,2362,14313.109818867664,18864.03443628541,1676.8030610031474,2576.3597673961794,0.0,0.0,0.0,13414.424488025179,0.0,899.5567063930503,155337.02831675578,0.0,72042.73089124192,0.0,0.0,0.0,0.0,0.0,0.0,69380.66874794097,1676.8030610031476,72042.73089124192,1.0
 ,2363,47699.858707799285,0.0,0.0,8585.974567403871,0.0,0.0,0.0,0.0,0.0,8585.974567403871,146751.0537493519,0.0,28142.91663760158,0.0,0.0,0.0,0.0,0.0,0.0,69380.66874794097,0.0,28142.91663760158,1.0
 ,2364,14313.109818867664,0.0,0.0,2576.3597673961794,0.0,0.0,0.0,0.0,0.0,2576.3597673961794,144174.69398195573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.194519086233,60491.47422885467,0.0,8889.194519086233,1.0
 ,2365,14313.109818867664,0.0,0.0,2576.3597673961794,0.0,0.0,0.0,0.0,0.0,2576.3597673961794,141598.33421455955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.194519086233,51602.27970976844,0.0,8889.194519086233,1.0
 ,2366,71565.54909433832,0.0,0.0,12881.798836980897,0.0,0.0,0.0,0.0,0.0,12881.798836980897,128716.53537757866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44445.972595431165,7156.307114337274,0.0,44445.972595431165,1.0
 ,2367,14313.109818867664,0.0,0.0,2576.3597673961794,0.0,0.0,0.0,0.0,0.0,2576.3597673961794,126140.17561018249,0.0,1646.2430345115129,0.0,0.0,0.0,0.0,0.0,7156.307114337274,0.0,0.0,8802.550148848786,1.0
 ,2368,71565.54909433832,915.7073977161122,81.39621313032109,12881.798836980897,0.0,0.0,0.0,651.1697050425687,0.0,12800.402623850576,113339.77298633191,0.0,45310.879711793066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.39621313032117,45310.879711793066,1.0
 ,2369,14313.109818867664,22444.887704070203,1995.1011292506846,2576.3597673961794,0.0,0.0,0.0,15960.809034005477,0.0,581.2586381454457,112758.51434818647,0.0,84115.17981099302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995.1011292506842,84115.17981099302,1.0
 ,2370,14659.500685508956,29685.488888155633,2638.710123391612,2638.7101233916123,0.0,0.0,0.0,21109.680987132895,0.0,0.0,112758.51434818647,0.0,108730.43280321278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2638.7101233916123,108730.43280321278,1.0
 ,2371,20557.122446514008,41628.17295419086,3700.282040372521,3700.2820403725214,0.0,0.0,0.0,29602.256322980167,0.0,0.0,112758.51434818647,0.0,152473.46200594728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3700.282040372521,152473.46200594728,1.0
 ,2372,34466.20889361551,69794.07300957141,6203.917600850792,6203.917600850792,0.0,0.0,0.0,49631.340806806336,0.0,0.0,112758.51434818647,0.0,255638.02550200207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6203.917600850791,255638.02550200204,1.0
 ,2373,52116.79731812881,105536.51456921085,9381.023517263187,9381.023517263186,0.0,0.0,0.0,75048.1881381055,0.0,0.0,112758.51434818647,0.0,386553.54300839384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9381.023517263187,386553.54300839384,1.0
