Informations,Time,MeOH biogas H2,Biogas,H2O wwtp,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,6420,52101.06288778051,65482.21018682795,25056.347809725685,2227.230916420061,1977.2112274405633,0.0,0.0,0.0,250.01968897949783,0.0,136619.88512402357,63678.674989730294,32835.35997678142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2227.230916420062,96514.03496651172,1.0
 ,6421,52101.06288778051,65482.21018682795,16598.32934179169,1475.407052603706,1977.2112274405633,0.0,0.0,0.0,0.0,501.8041748368573,136118.0809491867,43889.30214676796,19889.77834906663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1475.407052603706,63779.08049583458,1.0
 ,6422,52101.06288778051,65482.21018682795,13366.257901150635,1188.111813435612,1977.2112274405633,0.0,0.0,0.0,0.0,789.0994140049513,135328.98153518175,30369.829610486755,20990.01637468457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1188.1118134356122,51359.84598517133,1.0
 ,6423,30060.678108139156,37781.1801359126,12833.874269781552,1140.7888239805825,1140.7888239805825,0.0,0.0,0.0,0.0,0.0,135328.98153518175,25667.404380475906,23646.757501159715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140.7888239805825,49314.16188163562,1.0
 ,6424,52101.06288778051,65482.21018682795,10115.679073376594,899.1714731890306,1977.2112274405633,0.0,0.0,0.0,0.0,1078.0397542515327,134250.9417809302,16262.553920454198,22606.942918995373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.1714731890307,38869.49683944957,1.0
 ,6425,52101.06288778051,65482.21018682795,10526.26737001379,935.6682106678925,1977.2112274405633,0.0,0.0,0.0,0.0,1041.5430167726709,133209.39876415755,5878.031537513565,34569.150831764426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935.6682106678925,40447.182369277994,1.0
 ,6426,52101.06288778051,65482.21018682795,10135.804763076643,900.9604233845905,1977.2112274405633,0.0,0.0,0.0,0.0,1076.2508040559728,132133.14796010157,0.0,38946.829802122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.9604233845905,38946.829802122,1.0
 ,6427,52101.06288778051,65482.21018682795,10840.785826245554,963.6254067773825,1977.2112274405633,0.0,0.0,0.0,0.0,1013.5858206631807,131119.5621394384,0.0,41655.71953734855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,963.6254067773828,41655.71953734855,1.0
 ,6428,52101.06288778051,65482.21018682795,11768.834043556217,1046.1185816494415,1977.2112274405633,0.0,0.0,0.0,0.0,931.0926457911219,130188.46949364728,0.0,45221.74481236477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1046.1185816494417,45221.74481236478,1.0
 ,6429,52101.06288778051,65482.21018682795,12109.88627775003,1076.4343358000028,1977.2112274405633,0.0,0.0,0.0,0.0,900.7768916405605,129287.69260200672,0.0,46532.23802225451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1076.434335800003,46532.23802225451,1.0
