Informations,Time,MeOH biogas H2,Biogas w H2,H2O wwtp,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,2089,3652.5263107504907,4590.6068386481575,1011.205510402065,89.88493425796133,138.6116833296254,0.0,0.0,0.0,719.0794740636907,0.0,48.726749071664074,4630.47332620754,0.0,0.0,0.0,0.0,0.0,3885.5571737199352,0.0,0.0,0.0,0.0,0.0,89.88493425796133,3885.557173719935,1.0
 ,2090,3652.5263107504907,4590.6068386481575,1030.1884297309123,91.57230486497,138.6116833296254,0.0,0.0,0.0,732.57843891976,0.0,47.039378464655414,4583.433947742884,0.0,0.0,0.0,0.0,0.0,3958.4990412410316,0.0,0.0,0.0,0.0,0.0,91.57230486497,3958.499041241031,1.0
 ,2091,3652.5263107504907,4590.6068386481575,1080.566177180546,96.05032686049299,138.6116833296254,0.0,0.0,0.0,768.4026148839439,0.0,42.561356469132434,4540.872591273752,0.0,0.0,0.0,0.0,0.0,4152.075535816249,0.0,0.0,0.0,0.0,0.0,96.05032686049299,4152.075535816249,1.0
 ,2092,3652.5263107504907,4590.6068386481575,1113.6646006257158,98.99240894450809,138.6116833296254,0.0,0.0,0.0,791.9392715560647,0.0,39.61927438511732,4501.253316888634,0.0,0.0,0.0,0.0,0.0,4279.256227904314,0.0,0.0,0.0,0.0,0.0,98.99240894450809,4279.256227904314,1.0
 ,2093,3652.5263107504907,4590.6068386481575,1076.4288742499,95.6825665999911,138.6116833296254,0.0,0.0,0.0,765.4605327999288,0.0,42.9291167296343,4458.324200159,0.0,0.0,0.0,0.0,0.0,4136.177949305241,0.0,0.0,0.0,0.0,0.0,95.6825665999911,4136.177949305241,1.0
 ,2094,3652.5263107504907,4590.6068386481575,994.8996694401062,88.43552617245389,138.6116833296254,0.0,0.0,0.0,707.4842093796311,0.0,50.17615715717152,4408.148043001827,0.0,0.0,0.0,0.0,0.0,3822.901979823609,0.0,0.0,0.0,0.0,0.0,88.43552617245389,3822.9019798236086,1.0
 ,2095,3652.5263107504907,4590.6068386481575,901.1307263804694,80.10050901159728,138.6116833296254,0.0,0.0,0.0,640.8040720927783,0.0,58.511174318028125,4349.6368686838,0.0,78.27919356762906,0.0,0.0,0.0,3384.3156225493253,0.0,0.0,0.0,0.0,0.0,80.10050901159728,3462.594816116954,1.0
 ,2096,3652.5263107504907,4590.6068386481575,857.852367797119,76.25354380418835,138.6116833296254,0.0,0.0,0.0,610.0283504335068,0.0,62.35813952543705,4287.278729158363,0.0,300.07024200924474,0.0,0.0,0.0,2996.227481251185,0.0,0.0,0.0,0.0,0.0,76.25354380418835,3296.2977232604303,1.0
 ,2097,3652.5263107504907,4590.6068386481575,800.2032676337311,71.12917934522055,138.6116833296254,0.0,0.0,0.0,569.0334347617644,0.0,67.48250398440486,4219.796225173958,0.0,534.907822712132,0.0,0.0,0.0,2539.87323317048,0.0,0.0,0.0,0.0,0.0,71.12917934522055,3074.7810558826122,1.0
 ,2098,3652.5263107504907,4590.6068386481575,705.3540412037927,62.69813699589269,138.6116833296254,0.0,0.0,0.0,501.5850959671415,0.0,75.91354633373271,4143.882678840226,0.0,730.6058066312046,0.0,0.0,0.0,1979.717096694369,0.0,0.0,0.0,0.0,0.0,62.69813699589269,2710.322903325574,1.0
 ,2099,3652.5263107504907,4590.6068386481575,656.5137552353037,58.356778243138116,138.6116833296254,0.0,0.0,0.0,466.85422594510493,0.0,80.2549050864873,4063.627773753738,0.0,913.2572582890058,0.0,0.0,0.0,1609.3968462026496,0.0,0.0,0.0,0.0,0.0,58.356778243138116,2522.6541044916553,1.0
 ,2100,3652.5263107504907,4590.6068386481575,555.6514600082402,49.39124088962135,138.6116833296254,0.0,0.0,0.0,395.1299271169708,0.0,89.22044244000406,3974.407331313734,0.0,1030.6760486404494,0.0,0.0,0.0,1104.414686441214,0.0,0.0,0.0,0.0,0.0,49.39124088962135,2135.0907350816633,1.0
 ,2101,3652.5263107504907,4590.6068386481575,521.6151536298307,46.36579143376274,138.6116833296254,0.0,0.0,0.0,370.9263314701019,0.0,92.24589189586267,3882.1614394178714,0.0,991.5364518566347,0.0,0.0,0.0,1012.7697759659903,0.0,0.0,0.0,0.0,0.0,46.36579143376274,2004.306227822625,1.0
 ,2102,3652.5263107504907,4590.6068386481575,505.1608755319539,44.90318893617368,138.6116833296254,0.0,0.0,0.0,359.2255114893894,0.0,93.70849439345173,3788.4529450244195,0.0,887.1641937664627,0.0,0.0,0.0,1053.9164704650702,0.0,0.0,0.0,0.0,0.0,44.90318893617368,1941.0806642315329,1.0
