Informations,Time,CO2 DAC,MeOH,H2O sea,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,33,20282.570832513138,14804.79622811178,40339.08360477444,3585.696320424395,2814.6000433672584,0.0,10067.261435116012,0.0,28685.57056339516,771.0962770571363,0.0,7750.994232456661,0.0,190600.16223617102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239314.7929198413,3585.696320424395,190600.162236171,1.0
 ,34,20282.570832513138,14804.796228111778,67066.44076275901,5961.461401134135,2814.6000433672584,0.0,10067.26143511601,0.0,47691.69120907308,3146.8613577668766,0.0,10897.855590223615,0.0,295646.8425595153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239314.7929198413,5961.461401134135,295646.8425595153,1.0
 ,35,20282.570832513138,14804.79622811178,70790.79765342732,6292.515346971318,2814.6000433672584,0.0,10067.261435116012,0.0,50340.12277577054,3477.915303604059,0.0,14375.770893827674,0.0,342755.4053849326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30924.478330620976,0.0,270239.2712504623,6292.515346971318,311830.9270543116,1.0
 ,36,20282.570832513138,14804.796228111778,70790.79765342732,6292.515346971318,2814.6000433672584,0.0,10067.26143511601,0.0,50340.12277577054,3477.9153036040593,0.0,17853.686197431733,0.0,354667.91552469326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42269.726082773945,0.0,312508.9973332362,6292.515346971318,312398.18944191927,1.0
 ,37,20282.570832513138,14804.79622811178,70790.79765342732,6292.515346971318,2814.6000433672584,0.0,10067.261435116012,0.0,50340.12277577054,3477.915303604059,0.0,21331.60150103579,0.0,347087.22725393646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35050.02296776752,0.0,347559.0203010037,6292.515346971318,312037.2042861689,1.0
 ,38,20282.570832513138,14804.796228111778,70790.79765342732,6292.515346971318,2814.6000433672584,0.0,10067.26143511601,0.0,50340.12277577054,3477.9153036040593,0.0,24809.51680463985,0.0,327594.028843419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16485.07210060802,0.0,364044.09240161174,6292.515346971318,311108.95674281096,1.0
 ,39,20282.570832513138,14804.796228111778,65964.28170469779,5863.491707084248,2814.6000433672584,0.0,10067.26143511601,0.0,46907.93365667399,3048.891663716991,0.0,27858.40846835684,0.0,291315.02069051145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364044.09240161174,5863.491707084248,291315.02069051145,1.0
 ,40,20282.570832513138,14804.796228111778,52462.83324344786,4663.362954973143,2814.6000433672584,0.0,10067.26143511601,0.0,37306.903639785145,1848.7629116058852,0.0,29707.171379962725,0.0,238250.20279521382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364044.09240161174,4663.362954973143,238250.20279521382,1.0
 ,41,20282.570832513138,14804.79622811178,33175.04972737652,2948.8933091001354,2814.6000433672584,0.0,10067.261435116012,0.0,23591.146472801083,134.29326573287645,0.0,29841.4646456956,0.0,162443.32008764576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364044.09240161174,2948.8933091001354,162443.32008764576,1.0
 ,42,20282.570832513138,14804.79622811178,15190.27966582501,1350.2470814066676,2814.6000433672584,0.0,10067.261435116012,0.0,10801.97665125334,0.0,1464.352961960591,28377.11168373501,0.0,93134.17018358357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364044.09240161174,1350.2470814066676,93134.17018358356,1.0
 ,43,20282.570832513138,14804.79622811178,2943.9515120803544,261.68457885158705,2814.6000433672584,0.0,10067.261435116012,0.0,2093.4766308126964,0.0,2552.915464515672,25824.19621921934,0.0,46025.60735816631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364044.09240161174,261.68457885158705,46025.6073581663,1.0
 ,44,7595.796698496512,5544.377152187235,0.0,0.0,1054.0640973739992,0.0,3770.1764634873202,0.0,0.0,0.0,1054.0640973739992,24770.13212184534,0.0,12995.465607011662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364044.09240161174,0.0,12995.46560701166,1.0
 ,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24770.13212184534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364044.09240161174,0.0,0.0,1.0
