Informations,Time,MeOH biogas H2,Biogas w H2,H2O wwtp,H2_from_SOEC_A,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,Heat_export_process,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,6351,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,6253.561193186019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.03591055414472,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,6352,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,5493.113837791439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599.4114448404357,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,6353,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,3685.9330637949074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2406.5922188369677,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,6354,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,223.66098688075897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5868.864295751116,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,6355,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631878,0.0,3.3953792158821933e-12,0.0,3.3953792158821933e-12,140.9389207288513,6092.525282631876,1.0
 ,6356,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631875,0.0,0.0,0.0,3.3953792158821933e-12,140.9389207288513,6092.525282631875,1.0
 ,6357,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631874,0.0,-1.2645968928111307e-12,0.0,2.1307823230710625e-12,140.9389207288513,6092.525282631875,1.0
 ,6358,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631874,0.0,-8.661854302599316e-13,0.0,1.2645968928111307e-12,140.9389207288513,6092.525282631875,1.0
 ,6359,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631874,0.0,-1.2645968928111307e-12,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,6360,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631878,0.0,3.3953792158821933e-12,0.0,3.3953792158821933e-12,140.9389207288513,6092.525282631876,1.0
 ,6361,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631874,0.0,-1.2645968928111307e-12,0.0,2.1307823230710625e-12,140.9389207288513,6092.525282631875,1.0
 ,6362,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631874,0.0,-1.2645968928111307e-12,0.0,8.661854302599316e-13,140.9389207288513,6092.525282631875,1.0
 ,6363,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631874,0.0,-8.661854302599316e-13,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,6364,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631874,0.0,0.0,1.3977123552123024e-12,-1.3977123552123024e-12,140.9389207288513,6092.525282631876,1.0
 ,6365,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631874,0.0,-1.2645968928111307e-12,0.0,-2.662309248023433e-12,140.9389207288513,6092.525282631875,1.0
 ,6366,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,107.3572737027643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5985.168008929113,0.0,0.0,-2.662309248023433e-12,0.0,140.9389207288513,6092.525282631875,1.0
 ,6367,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,1091.4656159781036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5001.059666653771,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,6368,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,2361.8600214608146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3730.6652611710606,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,6369,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,3211.771771607698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2880.753511024177,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,6370,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,3927.486929626127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2165.038353005748,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,6371,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,4848.970195574854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1243.555087057021,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,6372,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,5627.310429919895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.2148527119802,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,6373,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,5913.5964931272665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.9287895046086,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,6374,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,5627.310429919895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.2148527119802,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,6375,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,4678.987845545477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1413.5374370863979,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,6376,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,3328.075484785693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2764.4497978461823,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,6377,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,1628.251984491925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4464.2732981399495,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,6378,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,53.67863685138215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6038.8466457804925,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,6379,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631875,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,6380,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631875,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,6381,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631875,0.0,0.0,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,6382,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631877,0.0,2.996967753330994e-12,0.0,2.996967753330994e-12,140.9389207288513,6092.525282631876,1.0
 ,6383,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631874,0.0,-1.2645968928111307e-12,0.0,1.7323708605198632e-12,140.9389207288513,6092.525282631875,1.0
 ,6384,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631874,0.0,-8.661854302599316e-13,0.0,8.661854302599316e-13,140.9389207288513,6092.525282631875,1.0
 ,6385,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631874,0.0,-8.661854302599316e-13,0.0,0.0,140.9389207288513,6092.525282631875,1.0
 ,6386,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631879,0.0,4.0600216032357355e-12,0.0,4.0600216032357355e-12,140.9389207288513,6092.525282631876,1.0
 ,6387,3713.8508371385087,4667.681380010147,1585.562858199577,140.9389207288513,140.93892072885134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.525282631874,0.0,-1.2645968928111307e-12,0.0,2.7954247104246048e-12,140.9389207288513,6092.525282631875,1.0
