Informations,Time,Biomass bamboo 2,Biochar,DME-B2,H2O sea,H2_from_SOEC_HI,H2_pipeline_to_Bamboo-2,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_tracking,SP198-HH100,SP198-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,3479,14068.428192265406,0.0,9135.342981990523,11152.142049398333,991.301515502074,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,7930.412124016592,0.0,263.55328971640427,36052.60717462147,0.0,16893.188658910498,18728.961866852176,0.0,0.0,0.0,0.0,8780.098244746141,991.3015155020742,35622.15052576267,1.0
 ,3480,14068.428192265406,0.0,9135.342981990523,12824.846596230029,1139.986364109336,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,9119.890912874687,0.0,114.8684411091424,35937.73873351233,0.0,17651.465734651116,19223.895462029126,0.0,0.0,0.0,4045.370428570413,4734.727816175728,1139.986364109336,40920.73162525066,1.0
 ,3481,14068.428192265406,0.0,9135.342981990523,12936.157109295993,1149.8806319374216,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,9199.045055499373,0.0,104.97417328105666,35832.76456023127,0.0,19798.108345446246,21259.49006405962,0.0,0.0,0.0,0.0,4734.727816175728,1149.8806319374219,41057.598409505874,1.0
 ,3482,14068.428192265406,0.0,9135.342981990523,14294.553244757726,1270.6269550895756,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,10165.015640716605,15.772149871097396,0.0,35848.536710102366,0.0,21951.766721882745,23259.350934219987,0.0,0.0,0.0,0.0,4734.727816175728,1270.6269550895756,45211.11765610273,1.0
 ,3483,14068.428192265406,0.0,9135.342981990523,16872.654845929115,1499.791541860366,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,11998.332334882927,244.93673664188788,0.0,36093.473446744254,0.0,26053.634291432005,27227.72912960422,0.0,0.0,0.0,0.0,4734.727816175728,1499.7915418603664,53281.36342103622,1.0
 ,3484,14068.428192265406,0.0,9135.342981990523,18578.61655079059,1651.432582292497,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,13211.460658339976,396.57777707401823,0.0,36490.05122381827,0.0,28628.664647042588,29992.880176286522,0.0,0.0,0.0,0.0,4734.727816175728,1651.432582292497,58621.54482332911,1.0
 ,3485,14068.428192265406,0.0,9135.342981990523,18490.56540228271,1643.605813536241,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,13148.846508289927,388.7510083177625,0.0,36878.80223213603,392.8266363163979,28826.423446000972,29126.66774166448,0.0,0.0,0.0,0.0,4734.727816175728,1643.6058135362416,58345.917823981865,1.0
 ,3486,14068.428192265406,0.0,9135.342981990523,20008.959770084708,1778.5742017853074,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,14228.59361428246,523.7193965668295,0.0,37402.52162870286,982.0665907909948,31585.78030470224,30531.109253543487,0.0,0.0,0.0,0.0,4734.727816175728,1778.5742017853079,63098.95614903672,1.0
 ,3487,14068.428192265406,0.0,9135.342981990523,19526.042373480363,1735.6482109760323,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,13885.185687808258,480.79340575755396,0.0,37883.315034460415,3535.439726847581,28776.599093332487,29275.238319391632,0.0,0.0,0.0,0.0,4734.727816175728,1735.6482109760325,61587.277139571706,1.0
 ,3488,14068.428192265406,0.0,9135.342981990523,14791.130909599802,1314.767191964427,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,10518.137535715416,59.912386745948524,0.0,37943.227421206364,10508.112521463645,17247.117853934367,19010.327103724678,0.0,0.0,0.0,0.0,4734.727816175728,1314.7671919644265,46765.557479122675,1.0
 ,3489,14068.428192265406,0.0,9135.342981990523,11415.128716428246,1014.6781081269552,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,8117.424865015641,0.0,240.17669709153415,37703.05072411483,17186.16533884241,8561.862515289818,10675.377299403834,0.0,0.0,0.0,0.0,4734.727816175728,1014.6781081269555,36423.40515353606,1.0
 ,3490,14068.428192265406,0.0,9135.342981990523,16066.671482200474,1428.1485761955978,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,11425.188609564782,173.29377097711972,0.0,37876.34449509195,38791.6303362443,5548.791482623614,6417.967401003184,0.0,0.0,0.0,0.0,4734.727816175728,1428.1485761955983,50758.389219871104,1.0
 ,3491,14068.428192265406,0.0,9135.342981990523,17920.345129169986,1592.9195670373322,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,12743.356536298657,338.0647618188539,0.0,38214.4092569108,47630.22965336325,4500.038841918733,4430.6856398847,0.0,0.0,0.0,0.0,4734.727816175728,1592.9195670373322,56560.954135166685,1.0
 ,3492,14068.428192265406,0.0,9135.342981990523,14812.543165675539,1316.6705036156036,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,10533.364028924829,61.81569839712501,0.0,38276.22495530793,39380.87029071889,3710.8332106384382,3740.8808819162136,0.0,0.0,0.0,0.0,4734.727816175728,1316.6705036156034,46832.58438327354,1.0
 ,3493,14068.428192265406,0.0,9135.342981990523,8309.521288702705,738.6241145513516,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,5908.9929164108125,0.0,516.2306906671267,37759.9942646408,19641.331815819896,3550.0845233760297,3769.9793839173403,0.0,0.0,0.0,0.0,4734.727816175728,738.6241145513517,26961.395723113266,1.0
 ,3494,14068.428192265406,0.0,9135.342981990523,5491.615272355134,488.14357976490084,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,3905.1486381192067,0.0,766.7112254535775,36993.28303918723,14534.585543706722,1817.0225568691021,2024.3324672304796,0.0,0.0,0.0,0.0,4734.727816175728,488.1435797649009,18375.940567806305,1.0
 ,3495,14068.428192265406,0.0,9135.342981990523,3950.949910958041,351.1955476407148,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,2809.5643811257182,0.0,903.6592575777636,36089.623781609465,12865.072339362032,395.95477738054575,420.891261227128,0.0,0.0,0.0,0.0,4734.727816175728,351.1955476407147,13681.918377969705,1.0
 ,3496,14068.428192265406,0.0,9135.342981990523,3036.441827597358,269.9059402308763,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,2159.2475218470104,0.0,984.9488649876021,35104.674916621865,10606.319180542743,128.82835105013825,160.4933433976636,0.0,0.0,0.0,0.0,4734.727816175728,269.9059402308763,10895.640874990546,1.0
 ,3497,14068.428192265406,0.0,9135.342981990523,2641.228413688918,234.77585899457048,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,1878.2068719565639,0.0,1020.0789462239078,34084.59597039796,7267.292771853361,1317.959042080676,1106.2725922309698,0.0,0.0,0.0,0.0,4734.727816175728,234.77585899457054,9691.524406165006,1.0
 ,3498,14068.428192265406,0.0,9135.342981990523,1870.0679169288728,166.22825928256648,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,1329.8260742605319,0.0,1088.6265459359117,32995.96942446205,2455.166476977487,2724.7928507772845,2162.031834906567,0.0,0.0,0.0,0.0,4734.727816175728,166.2282592825665,7341.991162661339,1.0
 ,3499,14068.428192265406,0.0,9135.342981990523,1587.2334761535078,141.08742010253403,1254.8548052184783,0.0,14068.428192265406,1918.4220262180097,1128.6993608202722,0.0,1113.7673851159443,31882.202039346106,687.4466135536964,2726.526525539803,3066.2921911354942,0.0,0.0,0.0,0.0,4734.727816175728,141.08742010253405,6480.265330228995,1.0
